合約屬性,,Contract Properties,,ประเภทของสัญญา,,,,,,,,,Thuộc tính Hợp đồng,,,memberCenter.contractProperties
聲明和協議,,Statement and Agreement,,คำชี้แจงและข้อตกลง,,,,,,,,,Tuyên bố và thỏa thuận,,,memberCenter.statementAndAgreement
帳戶設定,,Account Settings,,การตั้งค่าบัญชี,,,,,,,,,Thiết lập tài khoản,,,memberCenter.accountSetting
已複製推薦碼,,Referral Code Copied,,คัดลอกโค้ดแนะนำ,,,,,,,,,Đã copy mã giới thiệu,,,memberCenter.copyReferralCodeToast
我的推薦碼,,My Referral Code,,โค้ดแนะนำของฉัน,,,,,,,,,Mã giới thiệu của tôi,,,"memberCenter.myReferralCode,referralCodeShare.myReferralCode"
用戶服務,,User Service,,บริการผู้ใช้,,,,,,,,,Dịch vụ người sử dụng,,,memberCenter.userService
代理服務,,Agent Service,,บริการตัวแทน,,,,,,,,,Dịch vụ Đại lý,,,memberCenter.agentService
切換回用戶模式,,Switch to User Mode,,เปลี่ยนเป็นโหมดผู้ใช้,,,,,,,,,Chuyển sang chế độ người sử dụng,,,memberCenter.backToUserService
切換至代理模式,,Switch to Agent Mode,,เปลี่ยนเป็นโหมดตัวแทน,,,,,,,,,Chuyển sang chế độ Đại lý,,,memberCenter.toAgentService
代理審核中,,Agency under review,,อยู่ระหว่างการตรวจสอบของตัวแทน,,,,,,,,,Đang thẩm hạch Đại lý,,,memberCenter.agentStatusAudit
代理權限被撤銷,,Agent authority revoked,,เพิกถอนอำนาจของตัวแทน,,,,,,,,,Quyền hạn Đại lý bị hủy bỏ,,,memberCenter.agentStatusBlock
請先驗證真實帳戶,,Please verify your real account.,,โปรดยืนยันบัญชีจริงของคุณ,,,,,,,,,Vui lòng nghiệm chứng tài khoản thực,,,memberCenter.verificationRealAccountFirst
等待真實帳戶審核中,,Awaiting review for your real account,,กำลังรอการตรวจสอบบัญชีจริงของคุณ,,,,,,,,,Đang chờ thẩm hạch tài khoản thực,,,memberCenter.waitVerificationRealAccount
鑽石階級,,Diamond Rank,,ระดับเพชร,,,,,,,,,Cấp bậc kim cương,,,memberCenter.levelDiamond
會員,,Member,,สมาชิก,,,,,,,,,Hội viên,,,memberCenter.member
暫無行情,,No quotes available for the moment,,ไม่มีใบเสนอราคาในขณะนี้,,,,,,,,,Tạm thời không có trạng thái,,,"futuresMarketContent.listEmptyTip,home.quotaEmptyTip"
添加自選,,Add optional,,เพิ่มตัวเลือก,,,,,,,,,Thêm tự chọn,,,"futuresMarketContent.addCustomQuotaTip,home.addCustomQuotaTip,futuresCustomEdit.emptyTip"
交易品種,,Trading Varieties,,ประเภทซื้อขาย／ประเภทเทรด,,,,,,,,,Loại giao dịch,,,"futuresMarketContent.futuresName,home.tradingVarietyTitle,futuresCustomEdit.futuresName"
賣出價,,Selling Rate,,อัตราการขาย,,,,,,,,,Giá bán ra,,,"futuresMarketContent.sellPrice,home.sellingPriceTitle,futuresAlert.sellOutPrice,futuresDetail.sellOutPrice"
買入價,,Buying Rate,,อัตราการซื้อ,,,,,,,,,Giá mua vào,,,"futuresMarketContent.buyPrice,home.buyingPriceTitle,futuresAlert.buyInPrice,futuresDetail.buyInPrice"
自選,,Optional,,ตัวเลือก,,,,,,,,,Tự chọn,,,"futuresMarketContent.customTab,home.futuresTabFavorite"
輸入交易品種 / 英文名稱,,Enter trading variety / English name,,ป้อนประเภทซื้อขาย(ประเภทเทรด) / ชื่อภาษาอังกฤษ,,,,,,,,,Nhập loại giao dịch / Tên tiếng Anh,,,"futuresMarketContent.searchHint,home.searchHint,futuresSearch.searchInputHint"
可用餘額,,Available Balance,,ยอดเงินคงเหลือ,,,,,,,,,Số dư khả dụng,,,"futuresMarketContent.availableBalance,agentUsersDetail.availableBalance,accountTransaction.availableBalance,walletAssetsPopup.availableBalance,futuresTransaction.availableBalance"
多元交易產品安全,,"Diverse Transaction, Safe Products",,ความปลอดภัยของผลิตภัณฑ์การซื้อขายที่หลากหลาย,,,,,,,,,An toàn sản phẩm giao dịch đa dạng,,,home.defaultBannerTitle
快速下單直覺 多樣化下單工具,,"Quick and intuitive ordering, diversified order placement tools",,การสั่งซื้อที่รวดเร็วและใช้งานง่าย เครื่องมือการจัดวางคำสั่งซื้อที่หลากหลาย,,,,,,,,,Trực giác chốt đơn nhanh  Công cụ chốt đơn đa dạng hóa,,,home.defaultBannerSubtitle
更多交易,,More Transactions,,การซื้อขายอื่นๆ,,,,,,,,,Thêm nhiều gia dịch,,,home.moreTransaction
公告,,Announcement,,ประกาศ,,,,,,,,,Thông báo,,,"home.announcement,announcement.appBarTitle"
歡迎來到{appName}~,,Welcome to {AppName}~,,ยินดีต้อนรับสู่ {AppName}~,,,,,,,,,Chào mừng đến với {appName}~,,,home.defaultMarquee
專屬客服,,Exclusive Customer Service,,ฝ่ายบริการลูกค้าพิเศษ,,,,,,,,,Dịch vụ Khách hàng độc quyền,,,"home.customerServiceButton,customerService.appBarTitle"
更方便、更快捷、更高效的服務,,"More convenient, faster and more efficient service",,บริการสะดวก รวดเร็ว และมีประสิทธิภาพยิ่งขึ้น,,,,,,,,,"Dịch vụ tiện hơn, nhanh hơn, hiệu quả cao hơn",,,home.customerServiceContent
任務中心,,Mission Center,,ศูนย์ภารกิจ,,,,,,,,,Trung tâm nhiệm vụ,,,home.missionButton
歡迎 ~ 立即交易全球市場,,Welcome ~ Trade in the global market now.,,ยินดีต้อนรับ ~ ซื้อขายในตลาดโลกตอนนี้,,,,,,,,,Chào mừng ~ lập tức giao dịch thị trường toàn cầu,,,home.logoMessageContent
訂單列表,,Order List,,รายการสั่งซื้อ,,,,,,,,,Bảng liệt kê Đơn đặt hàng,,,home.tradeListButton
活動,,Event,,เหตุการณ์,,,,,,,,,Hoạt động,,,home.eventButton
教學,,Tutorial,,เทรนนิ่ง／การสอน,,,,,,,,,Dạy học,,,"home.tutorialButton,qa.appBarTitle"
熱門交易,,Top Transactions,,การซื้อขายยอดนิยม,,,,,,,,,Giao dịch phổ biến,,,home.futuresTabTop
登出成功,,Logout Succeeded ,,ออกจากระบบสำเร็จ,,,,,,,,,Đăng nhập thành công,,,memberCenter.logoutSuccess
首頁,,Homepage,,หน้าแรก,,,,,,,,,Trang chủ,,,menu.home
資產,,Assets,,ทรัพย์สิน,,,,,,,,,Tài sản,,,menu.funds
交易,,Trade,,ซื้อขาย,,,,,,,,,Giao dịch,,,menu.trade
我的,,Mine,,ของฉัน,,,,,,,,,... của tôi,,,menu.my
總覽,,Overview,,ภาพรวม,,,,,,,,,Tổng quan,,,"menu.overview,agentSetting.agentOverview,agentOverview.appBarTitle"
用戶清單,,User List,,รายการของผู้ใช้,,,,,,,,,Danh sách người sử dụng,,,"menu.users,agentSetting.agentUsers"
分潤細節,,Revenue Share Details,,รายละเอียดเงินปันผล,,,,,,,,,Chi tiết chia lãi,,,"menu.profitSharing,agentSetting.agentProfitSharing,agentProfitSharing.appBarTitle,agentOverview.agentProfitTitle"
推薦碼,,Referral Code,,โค้ดแนะนำ,,,,,,,,,Mã giới thiệu,,,"menu.referralCode,accountData.referralCodeTitle,agentSetting.agentReferralCode,agentUser.filterPopup.recommendedCode,agentReferralCode.appBarTitle,referralCodeBind.inputTitle,agentReferralUserList.recommendedCode"
交易設定,,Transaction Settings,,การตั้งค่าการซื้อขาย,,,,,,,,,Thiết lập giao dịch,,,"menu.transactionSetting,agentSetting.transactionSetting,agentTransactionSetting.appBarTitle"
買入,,Buy,,ซื้อ,,,,,,,,,Mua vào,,,"agentFundingPositionsList.buyingTitle,agentFundingPositionsDetail.buyingTitle,common.buyIn"
賣出,,Sell,,ขาย,,,,,,,,,Bán ra,,,"agentFundingPositionsList.sellTitle,agentFundingPositionsDetail.sellTitle,common.sellOut"
手續費,,Handling Fee,,ค่าธรรมเนียม,,,,,,,,,Phí thực hiện,,,"agentFundingPositionsList.handlingFeeTitle,agentFundingPositionsDetail.handlingFeeTitle,agentUsersDetail.handlingFeeTitle,paymentHistory.fee,futuresTransaction.totalCostPopup.handlingFee,agentTransactionSettingList.handlingFeeTitle,agentConditionFuturesList.handlingFeeTitle"
槓桿設定,,Leverage Settings,,การตั้งค่าเลเวอเรจ,,,,,,,,,Thiết lập đòn bẩy,,,"agentFundingPositionsList.leverageSettingTitle,agentFundingPositionsDetail.leverageSettingTitle,agentFundingDetails.filterPopup.leverageSettingTitle"
總盈虧,,Total Profit or Loss,,ค่ากำไรหรือขาดทุนทั้งหมด,,,,,,,,,Tổng lãi lỗ,,,"agentFundingPositionsList.generalProfit,agentFundingPositionsDetail.generalProfit,agentFundingDetails.filterPopup.openingFilterGeneralProfit"
開倉價,,Open Price ,,ราคาเปิด,,,,,,,,,Giá mất một vị trí,,,"agentFundingPositionsList.openingPriceTitle,positions.openPositionPrice,orders.openPriceTitle"
止盈價格,,Take Profit Price,,ขายทำกำไร,,,,,,,,,Giá chốt lãi,,,"agentFundingPositionsList.stopProfitPrice,agentFundingPositionsDetail.stopProfitPrice"
止損價格,,Stop Loss Price,,ราคาหยุดขาดทุน,,,,,,,,,Giá chốt lỗ,,,"agentFundingPositionsList.stopLossPrice,agentFundingPositionsDetail.stopLossPrice"
單號,,Order Number,,เลขที่ใบสั่งซื้อ,,,,,,,,,Số Đơn,,,"agentFundingPositionsList.singleNumberTitle,agentFundingPositionsDetail.singleNumberTitle,paymentHistory.orderSerial,withdrawCategory.orderSerial"
立即成交,,Immediate transaction,,ซื้อขายได้ทันที,,,,,,,,,Lập tức giao dịch thành công,,,"agentFundingPositionsList.repairImmediatelyHint,agentFundingPositionsDetail.repairImmediatelyHint"
開倉保證金,,Opening Margin,,มาร์จิ้นเปิด,,,,,,,,,Tiền bảo lãnh mất một vị trí,,,"agentFundingPositionsList.openMarginTitle,agentFundingPositionsDetail.openMarginTitle"
複製,,Copy,,คัดลอก,,,,,,,,,Copy,,,"agentFundingPositionsDetail.copyButton,agentReferralCodeList.copyButton,copyButton.title"
平倉時間,,Closing Time,,เวลาปิด,,,,,,,,,Thời gian vị thế thanh lý,,,"agentFundingPositionsDetail.closingTimeTitle,transactionHistory.closePositionTime,transactionHistoryDetail.createDate,agentFundingDetails.filterPopup.closingTimeTitle"
開倉時間,,Opening Time,,เวลาเปิด,,,,,,,,,Thời gian mất một vị trí,,,"agentFundingPositionsDetail.openingTimeTitle,agentFundingDetails.filterPopup.openingTimeTitle"
交易方向,,Trading Direction,,ทิศทางการซื้อขาย,,,,,,,,,Hướng giao dịch,,,"agentFundingPositionsDetail.tradingDirectionTitle,agentFundingDetails.filterPopup.tradingDirectionTitle"
淨盈虧,,Net Profit or Loss,,กำไรหรือขาดทุนสุทธิ,,,,,,,,,Lãi lỗ ròng,,,"agentFundingPositionsDetail.netProfit,agentFundingDetails.filterPopup.openingFilterNetProfit"
資金明細,,Funds Details,,รายละเอียดกองทุน,,,,,,,,,Hóa đơn vốn,,,"agentFundingPositionsDetail.appBarTitle,agentFundingDetails.appBarTitle,agentPaymentDetail.appBarTitle"
掛單,,Pending Order,,คำสั่งซื้อที่รอดำเนินการ,,,,,,,,,Treo Đơn,,,"agentFundingPositionsDetail.hangingTitle,accountTransaction.tabOrder,futuresDetail.bottomSheet.accountOrder,orderDetail.openPositionChartTag,orderDetail.orderTag,orderDetail.orderChartTag"
隔夜費,,Overnight Fee,,ค่าธรรมเนียมค้างคืน,,,,,,,,,Phí qua đêm,,,"agentFundingPositionsDetail.rolloverTitle,positionDetail.rollover,futuresContract.rollover,transactionHistoryDetail.rollover"
掛單價格,,Pending Order Price,,ราคาคำสั่งซื้อที่รอดำเนินการ,,,,,,,,,Giá treo Đơn,,,"agentFundingPositionsDetail.hangingPriceTitle,orderDetail.orderPriceTitle,orderModify.accountOrderTitle"
開倉價格,,Open Price ,,ราคาเปิด,,,,,,,,,Giá mất một vị trí,,,"agentFundingPositionsDetail.openingPriceTitle,positionDetail.tableOpenPriceTitle,positionDetail.openPriceTitle,transactionHistoryDetail.openPositionPriceTitle,futuresTransaction.marketOrderPopup.openPrice,orderDetail.openingPriceTitle"
平倉價格,,Closing Price,,ราคาปิด,,,,,,,,,Giá vị thế thanh lý,,,"agentFundingPositionsDetail.closingPriceTitle,transactionHistoryDetail.closePositionPriceTitle"
已複製,,Copied,,คัดลอกแล้ว,,,,,,,,,Đã copy,,,agentFundingPositionsDetail.copyToast
交易數量 (手),,Quantity of Transaction (lots),,ปริมาณธุรกรรม (ล็อต),,,,,,,,,Số lượng giao dịch (lượt),,,agentFundingPositionsDetail.quantityTransactionsTitle
成交價格,,Transaction Price,,ราคาซื้อขาย,,,,,,,,,Giá cả giao dịch,,,agentFundingPositionsDetail.dealPriceTitle
下單時間,,Order Time,,เวลาสั่งซื้อ,,,,,,,,,Thời gian chốt Đơn,,,agentFundingPositionsDetail.orderTimeTitle
成交時間,,Transaction Time,,เวลาทำรายการ,,,,,,,,,Thời gian giao dịch thành công,,,agentFundingPositionsDetail.dealOrderTimeTitle
更新時間,,Update Time,,อัพเดทเวลา,,,,,,,,,Thời gian cập nhật,,,agentFundingPositionsDetail.updateTimeTitle
持倉數量,,Open Position,,ตำแหน่งที่เปิดรับ,,,,,,,,,Số lượng vị thế để ngỏ,,,agentFundingPositionsDetail.positionQuantityTitle
平倉原因,,Reason for Closing Position,,เหตุผลในการปิด,,,,,,,,,Nguyên nhân vị thế thanh lý,,,"agentFundingPositionsDetail.closingReasonTitle,transactionHistoryDetail.closePositionReason"
浮動淨盈虧,,Net Floating Profit or Loss,,กำไรขาดทุนสุทธิลอยตัว,,,,,,,,,Lãi lỗ ròng thay đổi,,,positionDetail.profitLoss
平倉,,Close Position,,การปิดสถานะสัญญา,,,,,,,,,Vị thế thanh lý,,,"positionDetail.closePosition,positions.closePosition,agentFundingDetails.closePositionButton"
開倉,,Open Position,,การเปิดสถานะสัญญา,,,,,,,,,Mất một vị trí,,,"positionDetail.openPositionChartTag,agentFundingDetails.openPositionButton"
持倉,,Open Position,,การเปิดสถานะสัญญา,,,,,,,,,Vị thế để ngỏ,,,"positionDetail.positionTag,accountTransaction.tabPosition,futuresDetail.bottomSheet.accountPosition"
當前價格,,Current Price,,ราคาปัจจุบัน,,,,,,,,,Giá trị hiện tại,,,"positionDetail.lastPriceTitle,futuresDetail.dataTab.nowPrice,orderDetail.lastPriceTitle"
維持保證金,,Maintenance Margin,,หลักประกันรักษาสภาพ,,,,,,,,,Duy trì tiền bảo lãnh,,,"positionDetail.maintenanceMargin,accountTransaction.maintenanceMargin,walletAssetsPopup.maintenanceMargin"
最高,,Highest,,สูงสุด,,,,,,,,,Cao nhất,,,"positionDetail.highPrice,paymentHistory.filterPopup.amountMaxHint,futuresChartFullScreen.highPrice,futuresChart.highPrice"
開盤,,Open,,เปิด,,,,,,,,,Giá mở cửa giao dịch,,,"positionDetail.openPrice,futuresChartFullScreen.openPrice,futuresChart.openPrice"
最低,,Lowest,,ต่ำสุด,,,,,,,,,Thấp nhất,,,"positionDetail.lowPrice,paymentHistory.filterPopup.amountMinHint,futuresChartFullScreen.lowPrice,futuresChart.lowPrice"
方向,,Direction,,ทิศทาง,,,,,,,,,Phương hướng,,,"positionDetail.tradingDirection,futuresTransaction.tradingDirection,orderDetail.tradingDirection"
手數,,Quantity of Lots,,จำนวนล็อต,,,,,,,,,Số lượt,,,"positionDetail.lots,futuresTransaction.lots"
交易時間,,Trading Hours,,เวลาการซื้อขาย,,,,,,,,,Thời gian giao dịch,,,positionDetail.createDate
保證金,,Margin,,มาร์จิ้น,,,,,,,,,Tiền bảo lãnh,,,"positionDetail.contractMargin,positions.occupyMargin,accountTransaction.occupyMargin,walletAssetsPopup.margin,transactionHistoryDetail.contractMargin,futuresTransaction.marketOrderPopup.occupyMargin,futuresTransaction.limitOrderPopup.occupyMargin,orders.occupyMargin,orderDetail.margin"
交易綜合費,,Transaction Fees,,ค่าธรรมเนียมธุรกรรม,,,,,,,,,Phí tổng hợp giao dịch,,,"positionDetail.fee,transactionHistoryDetail.fee,futuresTransaction.totalCostPopup.transactionAllFee"
修改,,Modify,,แก้ไข,,,,,,,,,Sửa đổi,,,"positionDetail.modifyButton,orderDetail.modifyButton"
訂單號,,Order Number,,เลขที่ใบสั่งซื้อ,,,,,,,,,Số Đơn đặt hàng,,,"positionDetail.transactionSerial,positions.transactionSerial,transactionHistory.transactionSerial,transactionHistoryDetail.transactionSerial,orders.transactionSerialTitle,orderDetail.transactionSerial"
未設置,,Not set up,,ยังไม่ได้ตั้งค่า,,,,,,,,,Chưa thiết lập,,,"positionDetail.stopProfitLossEmpty,positionDetail.trailingStopEmpty,transactionHistoryDetail.stopProfitLossEmpty,transactionHistoryDetail.trailingStopEmpty,orderDetail.stopProfitLossEmpty,orderDetail.trailingStopEmpty,numberInputField.defaultHint"
數量,,Quantity,,ปริมาณ,,,,,,,,,Số lượng,,,"positionDetail.tableLotsTitle,futuresTransaction.marketOrderPopup.lots,futuresTransaction.limitOrderPopup.lots,orderDetail.lotsTitle"
當前價值,,Current Value,,มูลค่าปัจจุบัน,,,,,,,,,Giá trị hiện tại,,,positionDetail.currentPositionValue
平倉成功,,Position closed successfully,,ปิดสถานะสัญญาเรียบร้อยแล้ว,,,,,,,,,Vị thế thanh lý thành công,,,"positionDetail.closePositionSuccess,positions.closePositionSuccess"
平倉手數超過持有手數,,The number of closed lots exceeds lots held.,,จำนวนล็อตที่ปิดแล้วเกินกว่าล็อตที่ถืออยู่,,,,,,,,,Số lượt vị thế thanh lý vượt quá số lượt sở hữu,,,positionDetail.closePositionLotsOutRange
確認平倉,,Confirm Closing Position,,ยืนยันตำแหน่งปิด,,,,,,,,,Xác nhận vị thế thanh lý,,,positionDetail.confirmClosePosition
開倉數量,,The number of open positions,,จำนวนตำแหน่งเปิด,,,,,,,,,Số lượng mất một vị trí,,,positionDetail.openPositionLots
平倉數量,,The number of closed positions,,จำนวนตำแหน่งปิด,,,,,,,,,Số lượng vị thế thanh lý,,,positionDetail.closePositionLots
(可輸入數量 {range}),,(Quantity to be entered {range}),,(จำนวนที่จะป้อน {range}),,,,,,,,,(Có thể nhập số lượng {range}),,,positionDetail.lotsInputTip
"持倉異動, 請重新進入",,Open position has changed. Please re-enter.,,ตำแหน่งที่เปิดมีการเปลี่ยนแปลง กรุณาเข้าใหม่,,,,,,,,,"Thay đổi vị thế để ngỏ, vui lòng vào lại",,,positionDetail.positionChanged
現價,,Current Price,,ราคาปัจจุบัน,,,,,,,,,Giá hiện tại,,,positionDetail.lastPriceChartTag
讀取中,,Loading,,กำลังโหลด,,,,,,,,,Đang đọc,,,"positionDetail.marginLoading,positionDetail.maintenanceMarginLoading,positionDetail.feeLoading"
--,,--,,--,,,,,,,,,--,,,positionDetail.rolloverEmpty
開倉價值,,Open Value,,เปิดมูลค่า,,,,,,,,,Giá trị mất một vị trí,,,"positionDetail.openPositionValue,transactionHistoryDetail.openPositionValue"
預估強平價,,Estimated Forced Parity,,Forced Parityโดยประมาณ,,,,,,,,,Ước tính giá cưỡng chế thanh lý,,,"positionDetail.estimatedForcedParity,positions.estimatedForcedParity,adjustmentMarginDescriptionPopup.content3"
24h量,,24h Volume,,ปริมาณ 24 ชั่วโมง,,,,,,,,,Lượng 24h,,,positionDetail.quantity24h
全選,,Select All,,เลือกทั้งหมด,,,,,,,,,Chọn toàn bộ,,,"positions.selectAll,futuresCustomEdit.selectAll"
尚無掛單,,No order yet,,ยังไม่มีออเดอร์,,,,,,,,,Không có Đơn treo,,,"positions.emptyTip,orders.emptyTip"
開始交易,,Start Trading,,เริ่มซื้อขาย,,,,,,,,,Bắt đầu giao dịch,,,"positions.emptyButton,orders.emptyButton"
最新價,,Current Price,,ราคาปัจจุบัน,,,,,,,,,Giá mới nhất,,,positions.lastPrice
重置,,Reset,,รีเซ็ต,,,,,,,,,Thiết lập lại,,,positions.resetSelect
批量平倉,,Batch Close,,ปิดแบทช์,,,,,,,,,Vị thế thanh lý theo lô,,,positions.closeMultiPosition
交易手數超過持有手數,,The number of trading lots exceeds that of lots held.,,จำนวนล็อตการซื้อขายมากกว่าล็อตที่ถืออยู่,,,,,,,,,Số lượt giao dịch vượt quá số lượt sở hữu,,,positions.closePositionLotsOutRange
確定平倉,,Closed position confirmed,,ยืนยันตำแหน่งปิดแล้ว,,,,,,,,,Xác định vị thế thanh lý,,,positions.isConfirmClosePosition
限時價,,Limited Time Price,,ราคาจำกัดเวลา,,,,,,,,,Giá thời hạn,,,positions.limitedTimePrice
尚無紀錄,,No record yet,,ยังไม่มีรายการ,,,,,,,,,Không có ghi chép,,,transactionHistory.emptyTip
開始時間,,Start Time,,เวลาเริ่มต้น,,,,,,,,,Thời gian bắt đầu,,,transactionHistory.dateRangeStartDefault
結束時間,,End Time,,เวลาสิ้นสุด,,,,,,,,,Thời gian kết thúc,,,transactionHistory.dateRangeEndDefault
取消,,Cancel,,ยกเลิก,,,,,,,,,Hủy bỏ,,,"agentUsersDetail.descriptionPopup.cancelButton,agentUserPaymentHistory.filterPopup.cancelButton,common.cancel,agentTransactionSettingList.descriptionPopup.cancelButton,agentFundingDetails.filterPopup.cancelButton,agentReferralCodeList.descriptionPopup.cancelButton,agentProfitSharing.filterPopup.cancelButton,agentProfitSharingSearch.cancel,agentUser.filterPopup.cancelButton,agentUserSearch.cancel,agentReferralCodeSearch.cancel,agentReferralCodeFunctionPopup.cancelButton,editAgentReferralCode.descriptionPopup.cancelButton,addAgentReferralCodePopup.cancelButton,agentTransactionSettingSearch.cancel,agentUserProfitSharingForm.filterPopup.cancelButton,agentFundingDetailsSearch.cancel"
刪除點差,,Delete Spread,,ลบสเปรด,,,,,,,,,Xóa chênh lệch giá,,,"agentUsersDetail.descriptionPopup.deleteTitle,agentUsersDetail.descriptionPopup.deleteButton,agentTransactionSettingList.descriptionPopup.deleteTitle,agentTransactionSettingList.descriptionPopup.deleteButton,editAgentReferralCode.descriptionPopup.deleteTitle,editAgentReferralCode.descriptionPopup.deleteButton"
