切換回用戶模式,切换回用户模式,Switch to User Mode,,เปลี่ยนเป็นโหมดผู้ใช้,,,ユーザーモードに戻ります,,,사용자 모드로 다시 전환하십시오,,,Chuyển sang chế độ người sử dụng,,,memberCenter.backToUserService
切換至代理模式,切换至代理模式,Switch to Agent Mode,,เปลี่ยนเป็นโหมดตัวแทน,,,プロキシモードに切り替えます,,,프록시 모드로 전환하십시오,,,Chuyển sang chế độ Đại lý,,,memberCenter.toAgentService
代理審核中,代理审核中,Agency under review,,อยู่ระหว่างการตรวจสอบของตัวแทน,,,エージェントレビュー,,,에이전트 검토,,,Đang thẩm hạch Đại lý,,,memberCenter.agentStatusAudit
代理權限被撤銷,代理权限被撤销,Agent authority revoked,,เพิกถอนอำนาจของตัวแทน,,,エージェント許可が取り消されました,,,에이전트 권한이 취소되었습니다,,,Quyền hạn Đại lý bị hủy bỏ,,,memberCenter.agentStatusBlock
請先驗證真實帳戶,请先验证真实帐户,Please verify your real account.,,โปรดยืนยันบัญชีจริงของคุณ,,,最初に実際のアカウントを確認してください,,,먼저 실제 계정을 확인하십시오,,,Vui lòng nghiệm chứng tài khoản thực,,,memberCenter.verificationRealAccountFirst
等待真實帳戶審核中,等待真实帐户审核中,Awaiting review for your real account,,กำลังรอการตรวจสอบบัญชีจริงของคุณ,,,実際のアカウントレビューを待っています,,,실제 계정 검토를 기다리고 있습니다,,,Đang chờ thẩm hạch tài khoản thực,,,memberCenter.waitVerificationRealAccount
鑽石階級,钻石阶级,Diamond Rank,,ระดับเพชร,,,ダイヤモンドクラス,,,다이아몬드 클래스,,,Cấp bậc kim cương,,,memberCenter.levelDiamond
會員,会员,Member,,สมาชิก,,,メンバー,,,회원,,,Hội viên,,,memberCenter.member
認證中,认证中,Under Certification,,กำลังตรวจสอบ,,,,,,,,,Đang chứng nhận,,,memberCenter.idVerifyStatus.audit
已通過,已通过,Passed,,ผ่าน,,,,,,,,,Đã thông qua,,,memberCenter.idVerifyStatus.pass
未通過,未通过,Reject,,,,3,,,3,,,4,,,6,memberCenter.idVerifyStatus.reject
安全登出,安全登出,Logged out safely,,ออกจากระบบอย่างปลอดภัย,,,,,,,,,Đăng xuất an toàn,,,memberCenter.safeLogout
登入,登入,Log in,,เข้าสู่ระบบ,,,ログインする,,,로그인,,,Đăng nhập,,,"memberCenter.login,common.login"
登出成功,登出成功,Logout Succeeded,,ออกจากระบบสำเร็จ,,,正常にログインします,,,성공적으로 로그인하십시오,,,Đăng nhập thành công,,,memberCenter.logoutSuccess
關於我們,关于我们,Contact Us,,,,4,,,4,,,5,,,9,memberCenter.contactUs
用戶指南,,User Guide,,,,4,,,4,,,5,,,9,"memberCenter.userGuide,userGuideCategory.title"
暫無行情,暂无行情,No quotes available for the moment,,ไม่มีใบเสนอราคาในขณะนี้,,,市場はありません,,,시장 없음,,,Tạm thời không có trạng thái,,,"futuresMarketContent.listEmptyTip,home.quotaEmptyTip"
添加自選,添加自选,Add optional,,เพิ่มตัวเลือก,,,から選択することを選択します,,,선택하도록 선택하십시오,,,Thêm tự chọn,,,"futuresMarketContent.addCustomQuotaTip,home.addCustomQuotaTip,futuresCustomEdit.emptyTip"
交易品種,交易品种,Varieties,,ประเภทซื้อขาย／ประเภทเทรด,,,トランザクションの種類,,,거래 품종,,,Loại giao dịch,,,"futuresMarketContent.futuresName,home.tradingVarietyTitle,futuresCustomEdit.futuresName"
賣出價,卖出价,Selling Rate,,อัตราการขาย,,,販売価格,,,판매 가격,,,Giá bán ra,,,"futuresMarketContent.sellPrice,home.sellingPriceTitle,futuresAlert.sellOutPrice,futuresDetail.sellOutPrice"
買入價,买入价,Buying Rate,,อัตราการซื้อ,,,購入価格,,,구매 가격,,,Giá mua vào,,,"futuresMarketContent.buyPrice,home.buyingPriceTitle,futuresAlert.buyInPrice,futuresDetail.buyInPrice"
自選,自选,Optional,,ตัวเลือก,,,選択,,,선택,,,Tự chọn,,,"futuresMarketContent.customTab,home.futuresTabFavorite"
輸入交易品種 / 英文名稱,输入交易品种 / 英文名称,Enter variety / English name,,ป้อนประเภทซื้อขาย(ประเภทเทรด) / ชื่อภาษาอังกฤษ,,,トランザクションの品種 /英語名を入力します,,,트랜잭션 품종 / 영어 이름을 입력하십시오,,,Nhập loại giao dịch / Tên tiếng Anh,,,"futuresMarketContent.searchHint,home.searchHint,futuresSearch.searchInputHint"
可用餘額,可用馀额,Available,,ยอดเงินคงเหลือ,,,利用可能残高,,,사용 가능한 잔액,,,Số dư khả dụng,,,"futuresMarketContent.availableBalance,agentUsersDetail.availableBalance,accountTransaction.availableBalance,walletAssetsPopup.availableBalance,futuresTransaction.availableBalance"
最新價,最新价,Current Price,,ราคาปัจจุบัน,,,最新の価格,,,최신 가격,,,Giá mới nhất,,,"futuresMarketContent.lastPrice,home.lastPrice,positions.lastPrice"
漲跌幅,涨跌幅,Volatility,,ความผันผวน,,,引用の変更,,,견적 변경,,,Phạm vi tăng giảm,,,"futuresMarketContent.changeRate,home.changeRate,futuresChart.changeRate"
漲跌幅/點差,涨跌幅/点差,Volatility / Spread,,,,7,,,6,,,8,,,13,futuresMarketContent.changeRateSpread
多元交易產品安全,多元交易产品安全,"Diverse Transaction, Safe Products",,ความปลอดภัยของผลิตภัณฑ์การซื้อขายที่หลากหลาย,,,より多くのトランザクション製品が安全です,,,더 많은 거래 제품이 안전합니다,,,An toàn sản phẩm giao dịch đa dạng,,,home.defaultBannerTitle
快速下單直覺 多樣化下單工具,快速下单直觉 多样化下单工具,"Quick and intuitive ordering, diversified order placement tools",,การสั่งซื้อที่รวดเร็วและใช้งานง่าย เครื่องมือการจัดวางคำสั่งซื้อที่หลากหลาย,,,直感的な多様な注文ツールを注文する,,,직관적 인 다양한 주문 도구를 신속하게 주문하십시오,,,Trực giác chốt đơn nhanh  Công cụ chốt đơn đa dạng hóa,,,home.defaultBannerSubtitle
更多交易,更多交易,More,,การซื้อขายอื่นๆ,,,より多くのトランザクション,,,더 많은 거래,,,Thêm nhiều gia dịch,,,home.moreTransaction
公告,公告,Announcement,,ประกาศ,,,発表,,,발표,,,Thông báo,,,"home.announcement,announcement.appBarTitle"
歡迎來到{appName}~,欢迎来到{appName}~,Welcome to {AppName}~,,ยินดีต้อนรับสู่ {AppName}~,,,{appName}〜へようこそ,,,{appName} ~에 오신 것을 환영합니다,,,Chào mừng đến với {appName}~,,,home.defaultMarquee
專屬客服,专属客服,Exclusive Customer Service,,ฝ่ายบริการลูกค้าพิเศษ,,,排他的なカスタマーサービス,,,독점 고객 서비스,,,Dịch vụ Khách hàng độc quyền,,,"home.customerServiceButton,customerService.appBarTitle"
更方便、更快捷、更高效的服務,更方便丶更快捷丶更高效的服务,"More convenient, faster and more efficient service",,บริการสะดวก รวดเร็ว และมีประสิทธิภาพยิ่งขึ้น,,,簡単で、より速く、より効率的なサービス,,,쉽고 빠르며 효율적인 서비스,,,"Dịch vụ tiện hơn, nhanh hơn, hiệu quả cao hơn",,,home.customerServiceContent
任務中心,任务中心,Mission Center,,ศูนย์ภารกิจ,,,ミッションセンター,,,미션 센터,,,Trung tâm nhiệm vụ,,,home.missionButton
歡迎 ~ 立即交易全球市場,欢迎 ~ 立即交易全球市场,Welcome ~ Trade in the global market now.,,ยินดีต้อนรับ ~ ซื้อขายในตลาดโลกตอนนี้,,,ようこそ〜グローバル市場をすぐに取引してください,,,환영합니다 ~ 글로벌 시장을 즉시 거래하십시오,,,Chào mừng ~ lập tức giao dịch thị trường toàn cầu,,,home.logoMessageContent
訂單列表,订单列表,Order List,,รายการสั่งซื้อ,,,オーダーリスト,,,주문 목록,,,Bảng liệt kê Đơn đặt hàng,,,home.tradeListButton
活動,活动,Event,,เหตุการณ์,,,アクティビティ,,,활동,,,Hoạt động,,,"home.eventButton,campaign.title"
教學,教学,Tutorial,,เทรนนิ่ง／การสอน,,,教育,,,가르치는,,,Dạy học,,,"home.tutorialButton,qa.appBarTitle"
熱門交易,热门交易,Top Transactions,,การซื้อขายยอดนิยม,,,人気のある取引,,,인기있는 거래,,,Giao dịch phổ biến,,,home.futuresTabTop
點差,点差,Spread,,Spread,,,ポイントの違い,,,포인트 차이,,,Giá chênh lệch,,,"home.spreadPrefix,agentTransactionSettingList.spreadTitle,agentConditionFuturesList.spreadTitle"
提示,提示,Tip:,,คำใบ้,,,,,,,,,Gợi ý,,,home.idVerifyNeedPopup.title
"尚未完成/通過身分驗證
請通過身分驗證後，再進行{target}","尚未完成/通过身分验证
请通过身分验证后，再进行{target}","Identity verification not yet completed/passed 
Please pass the identity verification before making a {target}.",,,,27 + ?,,,23 + ?,,,32 + ?,,,51 + ?,home.idVerifyNeedPopup.content
前往驗證身份,前往验证身份,Verify your identity,,ยืนยันตัวตน,,,,,,,,,Vào nghiệm chứng danh tính,,,home.idVerifyNeedPopup.confirm
手續費,手续费,Handling Fee,,ค่าธรรมเนียม,,,手数料,,,수수료,,,Phí thực hiện,,,"paymentHistory.fee,agentFundingPositionsList.handlingFeeTitle,agentFundingPositionsDetail.handlingFeeTitle,agentUsersDetail.handlingFeeTitle,futuresTransaction.totalCostPopup.handlingFee,agentTransactionSettingList.handlingFeeTitle,agentConditionFuturesList.handlingFeeTitle"
單號,单号,Order No,,เลขที่ใบสั่งซื้อ,,,単一番号,,,단일 번호,,,Số Đơn,,,"paymentHistory.orderSerial,agentFundingPositionsList.singleNumberTitle,agentFundingPositionsDetail.singleNumberTitle,withdrawCategory.orderSerial"
清除,清除,Clear,,ชัดเจน,,,削除する,,,제거하다,,,Thanh trừ,,,"paymentHistory.filterPopup.clearButton,agentUserPaymentHistory.filterPopup.cleanButton,agentProfitSharing.filterPopup.cleanButton,agentUser.filterPopup.cleanButton,agentFundingDetails.filterPopup.cleanButton,agentUserProfitSharingForm.filterPopup.cleanButton"
篩選,筛选,Filter,,กรอง,,,フィルター,,,필터,,,Sàng lọc,,,"paymentHistory.filterPopup.filterButton,agentUserPaymentHistory.filterPopup.filterButton,agentProfitSharing.filterPopup.filterButton,agentUser.filterPopup.filterButton,agentTransactionSetting.filterTitle,agentFundingDetails.filterPopup.filterButton,agentUserProfitSharingForm.filterPopup.filterButton"
請選擇日期,请选择日期,Please select a date.,,กรุณาเลือกวันที่,,,日付を選択してください,,,날짜를 선택하십시오,,,Vui lòng chọn ngày tháng,,,"paymentHistory.filterPopup.applyTimeHint,agentUserPaymentHistory.filterPopup.dateButtonHint,agentOverview.dateHint,agentProfitSharing.dateButtonHint,agentUser.filterPopup.selectDateButton,agentFundingDetails.filterPopup.dateButtonHint,agentUserProfitSharingForm.dateHint"
請選擇類型,请选择类型,Please select a type.,,กรุณาเลือกประเภท,,,タイプを選択してください,,,유형을 선택하십시오,,,Vui lòng chọn loại hình,,,"paymentHistory.filterPopup.directionHint,agentUserPaymentHistory.filterPopup.typesButtonHint,agentProfitSharing.typesButtonHint,agentReferralCodeUsers.typesButtonHint"
出入金紀錄篩選,出入金纪录筛选,Deposit and Withdrawal Records Filtering,,กรองประวัติการฝากถอน,,,懲戒金の記録スクリーニング,,,징계 금 기록 심사,,,Sàng lọc ghi chép xuất nhập tiền,,,"paymentHistory.filterPopup.popupTitle,agentUserPaymentHistory.filterPopup.popupTitle"
出入金類型,出入金类型,Deposit and Withdrawal Type,,ประเภทการฝากถอน,,,ゴールドタイプ,,,금색,,,Loại hình xuất nhập tiền,,,"paymentHistory.filterPopup.directionTitle,agentUserPaymentHistory.filterPopup.typesTitle"
出入金方式,出入金方式,Deposit and Withdrawal Method,,วิธีการฝากถอน,,,出入りする方法,,,들어오고 나가는 방법,,,Phương thức xuất nhập tiền,,,"paymentHistory.filterPopup.categoryTitle,agentUserPaymentHistory.filterPopup.methodTitle"
請選擇出入金方式,请选择出入金方式,Please select a method to deposit and withdraw funds.,,โปรดเลือกวิธีการฝากถอนเงิน,,,出入りする方法を選択してください,,,들어오고 나가는 방법을 선택하십시오,,,Vui lòng chọn phương thức xuất nhập tiền,,,"paymentHistory.filterPopup.categoryHint,agentUserPaymentHistory.filterPopup.methodButtonHint"
狀態,状态,Status,,สถานะ,,,州,,,상태,,,Trạng thái,,,"paymentHistory.filterPopup.statusTitle,agentUserPaymentHistory.filterPopup.statusTitle"
請選擇狀態,请选择状态,Please select a status.,,โปรดเลือกสถานะ,,,ステータスを選択してください,,,상태를 선택하십시오,,,Vui lòng chọn trạng thái,,,"paymentHistory.filterPopup.statusHint,agentUserPaymentHistory.filterPopup.statusButtonHint"
金額,金额,Amount,,จำนวนเงิน,,,金額,,,금액,,,Số tiền,,,"paymentHistory.filterPopup.amountTitle,agentUserPaymentHistory.filterPopup.amountTitle"
最高,最高,Highest,,สูงสุด,,,最高,,,제일 높은,,,Cao nhất,,,"paymentHistory.filterPopup.amountMaxHint,positionDetail.highPrice,futuresChart.highPrice,futuresChartFullScreen.highPrice"
最低,最低,Lowest,,ต่ำสุด,,,最低,,,가장 낮습니다,,,Thấp nhất,,,"paymentHistory.filterPopup.amountMinHint,positionDetail.lowPrice,futuresChart.lowPrice,futuresChartFullScreen.lowPrice"
審核時間,审核时间,Review Time,,เวลาตรวจสอบ,,,時間を確認します,,,검토 시간,,,Thời gian thẩm hạch,,,paymentHistory.filterPopup.applyTimeTitle
出入金詳情,出入金详情,Deposit and Withdrawal Details,,รายละเอียดการฝากถอน,,,詳細,,,세부,,,Chi tiết xuất nhập tiền,,,"paymentHistory.paymentDetail,agentUserPaymentHistory.depositWithdrawalDetailsTitle,agentPaymentDetail.depositWithdrawalDetailsTitle"
入金總額,入金总额,Total Deposit,,ยอดเงินฝาก,,,合計金額,,,총 금액,,,Tổng số nhập tiền,,,"paymentHistory.paymentTotal,agentUserPaymentHistory.totalDeposit,agentPaymentDetail.depositTotal"
出金總額,出金总额,Total Withdrawal,,ยอดถอนทั้งหมด,,,金の総量,,,총 금액,,,Tổng số xuất tiền,,,"paymentHistory.withdrawTotal,agentUserPaymentHistory.totalWithdrawal"
方式,方式,Method,,วิธี,,,仕方,,,방법,,,Phương thức,,,"paymentHistory.method,agentUserPaymentHistoryList.methodTitle,withdrawCategory.method"
類型,类型,Type,,ประเภท,,,タイプ,,,유형,,,Loại hình,,,"paymentHistory.type,agentUserPaymentHistoryList.typesTitle,futuresTransaction.marketOrderPopup.type,futuresTransaction.limitOrderPopup.type,agentProfitSharing.typesTitle,withdrawCategory.type"
日期,日期,Date,,วันที่,,,日にち,,,데이트,,,Ngày tháng,,,"paymentHistory.dateTitle,agentUserPaymentHistoryList.dateTitle,agentOverview.dateTitle,agentProfitSharing.dateTitle,withdrawCategory.dateTitle,agentUserProfitSharingForm.dateTitle,withdrawBank.datePrefix"
審核中,审核中,Under review,,อยู่ระหว่างการตรวจสอบ,,,レビュー中,,,검토 중,,,Đang thẩm hạch,,,"paymentHistory.statusAudit,paymentHistory.orderStatusWithdrawAudit,paymentHistory.statusFail,paymentHistory.orderStatusDepositAudit,paymentHistory.orderStatusWithdrawHandle,agentUserPaymentHistoryList.orderStatusWithdrawAudit,agentUserPaymentHistoryList.orderStatusFail,agentUserPaymentHistoryList.orderStatusDepositAudit,agentUserPaymentHistoryList.orderStatusWithdrawHandle,accountPaymentManager.statusAudit"
等待,等待,Pending,,รอดำเนินการ,,,待つ,,,기다리다,,,Chờ đợi,,,paymentHistory.statusWait
完成,完成,Completed,,เสร็จสมบูรณ์,,,終了,,,마치다,,,Hoàn thành,,,"paymentHistory.statusSuccess,languageSetting.complete,keyboardInputAction.complete,upDownColorSetting.complete,serverLineSetting.complete"
尚無出入金紀錄,尚无出入金纪录,No deposit or withdrawal record yet,,ยังไม่มีประวัติการฝากถอน,,,エントリアンドエグジットゴールドレコードはありません,,,입장 및 종료 금 기록이 없습니다,,,Không có ghi chép xuất nhập tiền,,,paymentHistory.historyEmptyTip
獲取資料時發生錯誤,获取资料时发生错误,An error occurred while obtaining information.,,เกิดข้อผิดพลาดขณะรับข้อมูล,,,情報を取得するときにエラーが発生します,,,정보를 얻을 때 오류가 발생합니다,,,Phát sinh lỗi khi nhận dữ liệu,,,paymentHistory.historyErrorTip
入金成功,入金成功,Fund deposited successfully,,ฝากเงินสำเร็จ,,,入金成功,,,성공적인 지불,,,Nhập tiền thành công,,,"paymentHistory.orderStatusDepositSuccess,agentUserPaymentHistoryList.orderStatusDepositSuccess"
出金成功,出金成功,Fund withdrawn successfully,,ถอนเงินสำเร็จ,,,金で成功します,,,금으로 성공하십시오,,,Xuất tiền thành công,,,"paymentHistory.orderStatusWithdrawSuccess,agentUserPaymentHistoryList.orderStatusWithdrawSuccess"
未支付,未支付,Unpaid,,ค้างชำระ,,,未払い,,,무급,,,Chưa thanh toán,,,"paymentHistory.orderStatusDepositWaitPay,agentUserPaymentHistoryList.orderStatusDepositWaitPay"
資金退回,资金退回,Funds returned,,,,4,監査失敗,,4,감사 실패,,5,,,9,"paymentHistory.orderStatusWithdrawReject,agentUserPaymentHistoryList.orderStatusWithdrawReject"
代理-出入金詳情列表,代理-出入金详情列表,Agent-List of Deposit and Withdrawal Details,,รายละเอียดการฝากและถอนของตัวแทน,,,詳細のエージェントから検出されたリスト,,,에이전트 세부 사항 목록,,,Đại lý – Bảng liệt kê chi tiết xuất nhập tiền,,,agentUserPaymentHistoryList.nameDescription
首頁,首页,Home,,หน้าแรก,,,表紙,,,첫 장,,,Trang chủ,,,menu.home
資產,资产,Assets,,ทรัพย์สิน,,,資産,,,자산,,,Tài sản,,,menu.funds
交易,交易,Trade,,ซื้อขาย,,,トレード,,,거래,,,Giao dịch,,,menu.trade
我的,我的,Hub,,ของฉัน,,,私の,,,나의 것,,,... của tôi,,,menu.my
總覽,总览,Overview,,ภาพรวม,,,全体的な見解,,,전체보기,,,Tổng quan,,,"menu.overview,agentSetting.agentOverview,agentOverview.appBarTitle"
用戶清單,用户清单,User List,,รายการของผู้ใช้,,,ユーザーリスト,,,사용자 목록,,,Danh sách người sử dụng,,,"menu.users,agentSetting.agentUsers"
分潤細節,分润细节,Revenue Share Details,,รายละเอียดเงินปันผล,,,義務の詳細,,,의무 세부 사항,,,Chi tiết chia lãi,,,"menu.profitSharing,agentSetting.agentProfitSharing,agentOverview.agentProfitTitle,agentProfitSharing.appBarTitle"
推薦碼,推荐码,Referral Code,,โค้ดแนะนำ,,,推奨コード,,,추천 코드,,,Mã giới thiệu,,,"menu.referralCode,accountData.referralCodeTitle,agentSetting.agentReferralCode,agentUser.filterPopup.recommendedCode,agentReferralCode.appBarTitle,referralCodeBind.inputTitle,agentReferralUserList.recommendedCode"
