zh_TW,zh-CN,en-En,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
前往驗證真實賬戶,前往验证真实账户,Verify Your Real Account,,ยืนยันบัญชี,,9,実際のアカウントを確認します,,8,실제 계정을 확인하려면 이동하십시오,,11,Nghiệm chứng tài khoản thực,,18,assets.idVerifyButton.statusNone
真實帳戶審核中,真实帐户审核中,Real account under review,,บัญชีจริงอยู่ระหว่างการตรวจสอบ,,8,,,7,,,9,Đang thẩm hạch tài khoản thực,,15,assets.idVerifyButton.statusAudit
真實帳戶驗證未通過,真实帐户验证未通过,Real account verification failed,,การยืนยันบัญชีจริงไม่สำเร็จ,,10,,,9,,,12,Nghiệm chứng tài khoản thực chưa thông qua,,20,assets.idVerifyButton.statusReject
存入資金,存入资金,Deposit Funds,,ฝากเงิน,,4,デポジット,,4,보증금,,5,Gửi vào vốn,,9,assets.depositButtonTip
出金,出金,Withdraw,,ถอน,,2,出金,,2,철수,,2,Tiền chi tiêu,,4,"assets.withdrawButton,paymentHistory.typeWithdraw,agentUserPaymentHistoryList.withdraw,withdraw.appBarTitle,withdrawThirdParty.withdrawButton"
提取資金,提取资金,Withdraw Funds,,ถอนเงิน,,4,資金の抽出,,4,자금 추출,,5,Lĩnh vốn,,9,assets.withdrawButtonTip
自由資金,自由资金,Available Funds,,เงินสดอิสระ,,4,無料の資金,,4,무료 자금,,5,Vốn tự do,,9,"assets.availableFunds,accountTransaction.availableFunds"
淨值,净值,Equity,,มูลค่าสุทธิ,,2,純資産,,2,순자산,,2,Giá trị ròng,,4,"assets.netAssetValue,accountTransaction.netAssetValue,walletAssetsPopup.netAssetValue"
初始保證金,初始保证金,Initial Margin,,หลักประกันขั้นต้น,,5,頭金,,5,초기 입금,,7,Tiền bảo lãnh ban đầu,,11,assets.occupyMargin
維持保證金總額,维持保证金总额,Total M. Margin,,หลักประกันรักษาสภาพรวม,,8,総預金を維持します,,7,총 예금을 유지하십시오,,9,Duy trì tổng số tiền bảo lãnh,,15,assets.maintenanceMarginTotal
浮動盈虧,浮动盈亏,Unrealised P/L,,กำไร/ขาดทุนลอยตัว,,4,浮かぶ利益と損失,,4,떠 다니는 이익과 손실,,5,Lãi lỗ biến đổi,,9,"assets.dynamicProfitLoss,walletAssetsPopup.dynamicProfitLoss,positionDetail.dynamicProfitLoss,positionDetail.profitLoss"
平倉盈虧,平仓盈亏,Realised P/L,,ชดเชยกำไร/ขาดทุน,,4,ごみと損失,,4,쓰레기와 손실,,5,Lãi lỗ vị thế thanh lý,,9,"assets.closePositionProfitLoss,transactionHistoryDetail.dynamicProfitLoss"
凍結保證金,冻结保证金,Frozen Margin,,Frozen Margin,,5,冷凍堆積物,,5,냉동 예금,,7,Đóng băng tiền bảo lãnh,,11,assets.freezeMargin
全倉,全仓,Cross Margin,,Cross Margin,,2,全倉,,2,모든 창고,,2,Ký quỹ chéo,,4,"assets.crossMargin,futuresTransaction.crossMargin,tradeModePopup.crossMargin"
逐倉,逐仓,Isolated Margin,,Isolated Margin,,2,逐倉,,2,상호 작용,,2,Vị thế giao dịch,,4,"assets.isolateMargin,futuresTransaction.isolateMargin,tradeModePopup.isolateMargin"
資金淨值($),,,,,,8,,,7,,,9,,,15,assets.netWorth
佔用保證金($),,,,,,9,,,8,,,11,,,18,assets.positionMargin
可用保證金($),,,,,,9,,,8,,,11,,,18,assets.availableMargin
帳號資訊,帐号资讯,Account Information,,ข้อมูลเกี่ยวกับบัญชี,,4,口座情報,,4,계정 정보,,5,Thông tin tài khoản,,9,"memberCenter.accountInfo,accountData.appBarTitle"
成為代理,成为代理,Become an Agent,,เป็นตัวแทน,,4,エージェントになります,,4,에이전트가 되십시오,,5,Trở thành Đại lý,,9,"memberCenter.applyAgent,applyAgent.appBarTitle,applyAgent.applyAgentButton"
會員中心,会员中心,Member Center,,ศูนย์สมาชิก,,4,メンバーセンター,,4,회원 센터,,5,Trung tâm hội viên,,9,memberCenter.appBarTitle
通知,通知,Notification,,การแจ้งเตือน,,2,知らせ,,2,알아채다,,2,Thông báo,,4,"memberCenter.messageNotify,agentSetting.messageNotify"
成就 & 階級,成就 & 阶级,Achievement & Rank,,ความสำเร็จและอันดับ,,5,功績とクラス,,5,성취 및 수업,,7,Thành tựu & cấp bậc,,11,"memberCenter.achievement,agentSetting.achievementsLevel,achievementsLevel.appBarTitle"
獎勵,奖励,Rewards,,รางวัล,,2,アワード,,2,상,,2,Thưởng khuyến khích,,4,"memberCenter.award,award.appBarTitle,awardList.bonus"
分享推薦碼,分享推荐码,Share Referral Code,,แชร์โค้ดแนะนำ,,5,推奨コードを共有します,,5,공유 추천 코드,,7,Chia sẻ mã giới thiệu,,11,"memberCenter.shareReferralCode,referralCodeShare.appBarTitle"
身份認證,身份认证,Identity Certification,,ยืนยันตัวตน,,4,認証,,4,입증,,5,Chứng nhận danh tính,,9,memberCenter.identifyVerification
設定,设定,Settings,,การตั้งค่า,,2,設定,,2,환경,,2,Thiết lập,,4,"memberCenter.setting,setting.appBarTitle"
合約屬性,合约属性,Contract Properties,,ประเภทของสัญญา,,4,,,4,,,5,Thuộc tính Hợp đồng,,9,memberCenter.contractProperties
聲明和協議,声明和协议,Statement and Agreement,,คำชี้แจงและข้อตกลง,,5,宣言とプロトコル,,5,선언 및 프로토콜,,7,Tuyên bố và thỏa thuận,,11,memberCenter.statementAndAgreement
帳戶設定,帐户设定,Account Settings,,การตั้งค่าบัญชี,,4,アカウント設定,,4,계정 설정,,5,Thiết lập tài khoản,,9,memberCenter.accountSetting
已複製推薦碼,已复制推荐码,Referral Code Copied,,คัดลอกโค้ดแนะนำ,,7,コピーするための推奨コード,,6,복사를위한 권장 코드,,8,Đã copy mã giới thiệu,,13,memberCenter.copyReferralCodeToast
我的推薦碼,我的推荐码,My Referral Code,,โค้ดแนะนำของฉัน,,5,私の推奨コード,,5,내 추천 코드,,7,Mã giới thiệu của tôi,,11,"memberCenter.myReferralCode,referralCodeShare.myReferralCode"
用戶服務,用户服务,User Service,,บริการผู้ใช้,,4,ユーザーサービス,,4,사용자 서비스,,5,Dịch vụ người sử dụng,,9,memberCenter.userService
代理服務,代理服务,Agent Service,,บริการตัวแทน,,4,プロキシサービス,,4,프록시 서비스,,5,Dịch vụ Đại lý,,9,memberCenter.agentService
切換回用戶模式,切换回用户模式,Switch to User Mode,,เปลี่ยนเป็นโหมดผู้ใช้,,8,ユーザーモードに戻ります,,7,사용자 모드로 다시 전환하십시오,,9,Chuyển sang chế độ người sử dụng,,15,memberCenter.backToUserService
切換至代理模式,切换至代理模式,Switch to Agent Mode,,เปลี่ยนเป็นโหมดตัวแทน,,8,プロキシモードに切り替えます,,7,프록시 모드로 전환하십시오,,9,Chuyển sang chế độ Đại lý,,15,memberCenter.toAgentService
代理審核中,代理审核中,Agency under review,,อยู่ระหว่างการตรวจสอบของตัวแทน,,5,エージェントレビュー,,5,에이전트 검토,,7,Đang thẩm hạch Đại lý,,11,memberCenter.agentStatusAudit
代理權限被撤銷,代理权限被撤销,Agent authority revoked,,เพิกถอนอำนาจของตัวแทน,,8,エージェント許可が取り消されました,,7,에이전트 권한이 취소되었습니다,,9,Quyền hạn Đại lý bị hủy bỏ,,15,memberCenter.agentStatusBlock
請先驗證真實帳戶,请先验证真实帐户,Please verify your real account.,,โปรดยืนยันบัญชีจริงของคุณ,,9,最初に実際のアカウントを確認してください,,8,먼저 실제 계정을 확인하십시오,,11,Vui lòng nghiệm chứng tài khoản thực,,18,memberCenter.verificationRealAccountFirst
等待真實帳戶審核中,等待真实帐户审核中,Awaiting review for your real account,,กำลังรอการตรวจสอบบัญชีจริงของคุณ,,10,実際のアカウントレビューを待っています,,9,실제 계정 검토를 기다리고 있습니다,,12,Đang chờ thẩm hạch tài khoản thực,,20,memberCenter.waitVerificationRealAccount
鑽石階級,钻石阶级,Diamond Rank,,ระดับเพชร,,4,ダイヤモンドクラス,,4,다이아몬드 클래스,,5,Cấp bậc kim cương,,9,memberCenter.levelDiamond
會員,会员,Member,,สมาชิก,,2,メンバー,,2,회원,,2,Hội viên,,4,memberCenter.member
認證中,认证中,Under Certification,,กำลังตรวจสอบ,,3,,,3,,,4,Đang chứng nhận,,6,memberCenter.idVerifyStatus.audit
已通過,已通过,Passed,,ผ่าน,,3,,,3,,,4,Đã thông qua,,6,memberCenter.idVerifyStatus.pass
未通過,未通过,Reject,,,,3,,,3,,,4,,,6,memberCenter.idVerifyStatus.reject
安全登出,安全登出,Logged out safely,,ออกจากระบบอย่างปลอดภัย,,4,,,4,,,5,Đăng xuất an toàn,,9,memberCenter.safeLogout
登入,登入,Log in,,เข้าสู่ระบบ,,2,ログインする,,2,로그인,,2,Đăng nhập,,4,"memberCenter.login,common.login"
登出成功,登出成功,Logout Succeeded,,ออกจากระบบสำเร็จ,,4,正常にログインします,,4,성공적으로 로그인하십시오,,5,Đăng nhập thành công,,9,memberCenter.logoutSuccess
關於我們,关于我们,Contact Us,,,,4,,,4,,,5,,,9,memberCenter.contactUs
用戶指南,,User Guide,,,,4,,,4,,,5,,,9,"memberCenter.userGuide,userGuideCategory.title"
暫無行情,暂无行情,No quotes available for the moment,,ไม่มีใบเสนอราคาในขณะนี้,,4,市場はありません,,4,시장 없음,,5,Tạm thời không có trạng thái,,9,"futuresMarketContent.listEmptyTip,home.quotaEmptyTip"
添加自選,添加自选,Add optional,,เพิ่มตัวเลือก,,4,から選択することを選択します,,4,선택하도록 선택하십시오,,5,Thêm tự chọn,,9,"futuresMarketContent.addCustomQuotaTip,home.addCustomQuotaTip,futuresCustomEdit.emptyTip"
交易品種,交易品种,Varieties,,ประเภทซื้อขาย／ประเภทเทรด,,4,トランザクションの種類,,4,거래 품종,,5,Loại giao dịch,,9,"futuresMarketContent.futuresName,home.tradingVarietyTitle,futuresCustomEdit.futuresName"
賣出價,卖出价,Selling Rate,,อัตราการขาย,,3,販売価格,,3,판매 가격,,4,Giá bán ra,,6,"futuresMarketContent.sellPrice,home.sellingPriceTitle,futuresAlert.sellOutPrice,futuresDetail.sellOutPrice"
買入價,买入价,Buying Rate,,อัตราการซื้อ,,3,購入価格,,3,구매 가격,,4,Giá mua vào,,6,"futuresMarketContent.buyPrice,home.buyingPriceTitle,futuresAlert.buyInPrice,futuresDetail.buyInPrice"
自選,自选,Optional,,ตัวเลือก,,2,選択,,2,선택,,2,Tự chọn,,4,"futuresMarketContent.customTab,home.futuresTabFavorite"
輸入交易品種 / 英文名稱,输入交易品种 / 英文名称,Enter variety / English name,,ป้อนประเภทซื้อขาย(ประเภทเทรด) / ชื่อภาษาอังกฤษ,,12,トランザクションの品種 /英語名を入力します,,11,트랜잭션 품종 / 영어 이름을 입력하십시오,,15,Nhập loại giao dịch / Tên tiếng Anh,,24,"futuresMarketContent.searchHint,home.searchHint,futuresSearch.searchInputHint"
可用餘額,可用馀额,Available,,ยอดเงินคงเหลือ,,4,利用可能残高,,4,사용 가능한 잔액,,5,Số dư khả dụng,,9,"futuresMarketContent.availableBalance,agentUsersDetail.availableBalance,accountTransaction.availableBalance,walletAssetsPopup.availableBalance,futuresTransaction.availableBalance"
最新價,最新价,Current Price,,ราคาปัจจุบัน,,3,最新の価格,,3,최신 가격,,4,Giá mới nhất,,6,"futuresMarketContent.lastPrice,home.lastPrice,positions.lastPrice"
漲跌幅,涨跌幅,Volatility,,ความผันผวน,,3,引用の変更,,3,견적 변경,,4,Phạm vi tăng giảm,,6,"futuresMarketContent.changeRate,home.changeRate,futuresChart.changeRate"
漲跌幅/點差,涨跌幅/点差,Volatility / Spread,,,,7,,,6,,,8,,,13,futuresMarketContent.changeRateSpread
多元交易產品安全,多元交易产品安全,"Diverse Transaction, Safe Products",,ความปลอดภัยของผลิตภัณฑ์การซื้อขายที่หลากหลาย,,9,より多くのトランザクション製品が安全です,,8,더 많은 거래 제품이 안전합니다,,11,An toàn sản phẩm giao dịch đa dạng,,18,home.defaultBannerTitle
快速下單直覺 多樣化下單工具,快速下单直觉 多样化下单工具,"Quick and intuitive ordering, diversified order placement tools",,การสั่งซื้อที่รวดเร็วและใช้งานง่าย เครื่องมือการจัดวางคำสั่งซื้อที่หลากหลาย,,15,直感的な多様な注文ツールを注文する,,13,직관적 인 다양한 주문 도구를 신속하게 주문하십시오,,18,Trực giác chốt đơn nhanh  Công cụ chốt đơn đa dạng hóa,,29,home.defaultBannerSubtitle
更多交易,更多交易,More,,การซื้อขายอื่นๆ,,4,より多くのトランザクション,,4,더 많은 거래,,5,Thêm nhiều gia dịch,,9,home.moreTransaction
公告,公告,Announcement,,ประกาศ,,2,発表,,2,발표,,2,Thông báo,,4,"home.announcement,announcement.appBarTitle"
歡迎來到{appName}~,欢迎来到{appName}~,Welcome to {AppName}~,,ยินดีต้อนรับสู่ {AppName}~,,5 + ?,{appName}〜へようこそ,,5 + ?,{appName} ~에 오신 것을 환영합니다,,7 + ?,Chào mừng đến với {appName}~,,11 + ?,home.defaultMarquee
專屬客服,专属客服,Exclusive Customer Service,,ฝ่ายบริการลูกค้าพิเศษ,,4,排他的なカスタマーサービス,,4,독점 고객 서비스,,5,Dịch vụ Khách hàng độc quyền,,9,"home.customerServiceButton,customerService.appBarTitle"
更方便、更快捷、更高效的服務,更方便丶更快捷丶更高效的服务,"More convenient, faster and more efficient service",,บริการสะดวก รวดเร็ว และมีประสิทธิภาพยิ่งขึ้น,,16,簡単で、より速く、より効率的なサービス,,14,쉽고 빠르며 효율적인 서비스,,19,"Dịch vụ tiện hơn, nhanh hơn, hiệu quả cao hơn",,31,home.customerServiceContent
任務中心,任务中心,Mission Center,,ศูนย์ภารกิจ,,4,ミッションセンター,,4,미션 센터,,5,Trung tâm nhiệm vụ,,9,home.missionButton
歡迎 ~ 立即交易全球市場,欢迎 ~ 立即交易全球市场,Welcome ~ Trade in the global market now.,,ยินดีต้อนรับ ~ ซื้อขายในตลาดโลกตอนนี้,,12,ようこそ〜グローバル市場をすぐに取引してください,,11,환영합니다 ~ 글로벌 시장을 즉시 거래하십시오,,15,Chào mừng ~ lập tức giao dịch thị trường toàn cầu,,24,home.logoMessageContent
訂單列表,订单列表,Order List,,รายการสั่งซื้อ,,4,オーダーリスト,,4,주문 목록,,5,Bảng liệt kê Đơn đặt hàng,,9,home.tradeListButton
活動,活动,Event,,เหตุการณ์,,2,アクティビティ,,2,활동,,2,Hoạt động,,4,"home.eventButton,campaign.title"
教學,教学,Tutorial,,เทรนนิ่ง／การสอน,,2,教育,,2,가르치는,,2,Dạy học,,4,"home.tutorialButton,qa.appBarTitle"
熱門交易,热门交易,Top Transactions,,การซื้อขายยอดนิยม,,4,人気のある取引,,4,인기있는 거래,,5,Giao dịch phổ biến,,9,home.futuresTabTop
點差,点差,Spread,,Spread,,2,ポイントの違い,,2,포인트 차이,,2,Giá chênh lệch,,4,"home.spreadPrefix,agentTransactionSettingList.spreadTitle,agentConditionFuturesList.spreadTitle"
提示,提示,Tip:,,คำใบ้,,2,,,2,,,2,Gợi ý,,4,home.idVerifyNeedPopup.title
"尚未完成/通過身分驗證
請通過身分驗證後，再進行{target}","尚未完成/通过身分验证
请通过身分验证后，再进行{target}","Identity verification not yet completed/passed 
Please pass the identity verification before making a {target}.",,,,27 + ?,,,23 + ?,,,32 + ?,,,51 + ?,home.idVerifyNeedPopup.content
前往驗證身份,前往验证身份,Verify your identity,,ยืนยันตัวตน,,7,,,6,,,8,Vào nghiệm chứng danh tính,,13,home.idVerifyNeedPopup.confirm
手續費,手续费,Handling Fee,,ค่าธรรมเนียม,,3,手数料,,3,수수료,,4,Phí thực hiện,,6,"paymentHistory.fee,agentFundingPositionsList.handlingFeeTitle,agentFundingPositionsDetail.handlingFeeTitle,agentUsersDetail.handlingFeeTitle,futuresTransaction.totalCostPopup.handlingFee,agentTransactionSettingList.handlingFeeTitle,agentConditionFuturesList.handlingFeeTitle"
單號,单号,Order No,,เลขที่ใบสั่งซื้อ,,2,単一番号,,2,단일 번호,,2,Số Đơn,,4,"paymentHistory.orderSerial,agentFundingPositionsList.singleNumberTitle,agentFundingPositionsDetail.singleNumberTitle,withdrawCategory.orderSerial"
清除,清除,Clear,,ชัดเจน,,2,削除する,,2,제거하다,,2,Thanh trừ,,4,"paymentHistory.filterPopup.clearButton,agentUserPaymentHistory.filterPopup.cleanButton,agentProfitSharing.filterPopup.cleanButton,agentUser.filterPopup.cleanButton,agentFundingDetails.filterPopup.cleanButton,agentUserProfitSharingForm.filterPopup.cleanButton"
篩選,筛选,Filter,,กรอง,,2,フィルター,,2,필터,,2,Sàng lọc,,4,"paymentHistory.filterPopup.filterButton,agentUserPaymentHistory.filterPopup.filterButton,agentProfitSharing.filterPopup.filterButton,agentUser.filterPopup.filterButton,agentFundingDetails.filterPopup.filterButton,agentUserProfitSharingForm.filterPopup.filterButton,agentTransactionSetting.filterTitle"
請選擇日期,请选择日期,Please select a date.,,กรุณาเลือกวันที่,,5,日付を選択してください,,5,날짜를 선택하십시오,,7,Vui lòng chọn ngày tháng,,11,"paymentHistory.filterPopup.applyTimeHint,agentUserPaymentHistory.filterPopup.dateButtonHint,agentProfitSharing.dateButtonHint,agentUser.filterPopup.selectDateButton,agentFundingDetails.filterPopup.dateButtonHint,agentUserProfitSharingForm.dateHint,agentOverview.dateHint"
請選擇類型,请选择类型,Please select a type.,,กรุณาเลือกประเภท,,5,タイプを選択してください,,5,유형을 선택하십시오,,7,Vui lòng chọn loại hình,,11,"paymentHistory.filterPopup.directionHint,agentUserPaymentHistory.filterPopup.typesButtonHint,agentProfitSharing.typesButtonHint,agentReferralCodeUsers.typesButtonHint"
出入金紀錄篩選,出入金纪录筛选,Deposit and Withdrawal Records Filtering,,กรองประวัติการฝากถอน,,8,懲戒金の記録スクリーニング,,7,징계 금 기록 심사,,9,Sàng lọc ghi chép xuất nhập tiền,,15,"paymentHistory.filterPopup.popupTitle,agentUserPaymentHistory.filterPopup.popupTitle"
出入金類型,出入金类型,Deposit and Withdrawal Type,,ประเภทการฝากถอน,,5,ゴールドタイプ,,5,금색,,7,Loại hình xuất nhập tiền,,11,"paymentHistory.filterPopup.directionTitle,agentUserPaymentHistory.filterPopup.typesTitle"
出入金方式,出入金方式,Deposit and Withdrawal Method,,วิธีการฝากถอน,,5,出入りする方法,,5,들어오고 나가는 방법,,7,Phương thức xuất nhập tiền,,11,"paymentHistory.filterPopup.categoryTitle,agentUserPaymentHistory.filterPopup.methodTitle"
請選擇出入金方式,请选择出入金方式,Please select a method to deposit and withdraw funds.,,โปรดเลือกวิธีการฝากถอนเงิน,,9,出入りする方法を選択してください,,8,들어오고 나가는 방법을 선택하십시오,,11,Vui lòng chọn phương thức xuất nhập tiền,,18,"paymentHistory.filterPopup.categoryHint,agentUserPaymentHistory.filterPopup.methodButtonHint"
狀態,状态,Status,,สถานะ,,2,州,,2,상태,,2,Trạng thái,,4,"paymentHistory.filterPopup.statusTitle,agentUserPaymentHistory.filterPopup.statusTitle"
請選擇狀態,请选择状态,Please select a status.,,โปรดเลือกสถานะ,,5,ステータスを選択してください,,5,상태를 선택하십시오,,7,Vui lòng chọn trạng thái,,11,"paymentHistory.filterPopup.statusHint,agentUserPaymentHistory.filterPopup.statusButtonHint"
金額,金额,Amount,,จำนวนเงิน,,2,金額,,2,금액,,2,Số tiền,,4,"paymentHistory.filterPopup.amountTitle,agentUserPaymentHistory.filterPopup.amountTitle"
最高,最高,Highest,,สูงสุด,,2,最高,,2,제일 높은,,2,Cao nhất,,4,"paymentHistory.filterPopup.amountMaxHint,positionDetail.highPrice,futuresChart.highPrice,futuresChartFullScreen.highPrice"
最低,最低,Lowest,,ต่ำสุด,,2,最低,,2,가장 낮습니다,,2,Thấp nhất,,4,"paymentHistory.filterPopup.amountMinHint,positionDetail.lowPrice,futuresChart.lowPrice,futuresChartFullScreen.lowPrice"
審核時間,审核时间,Review Time,,เวลาตรวจสอบ,,4,時間を確認します,,4,검토 시간,,5,Thời gian thẩm hạch,,9,paymentHistory.filterPopup.applyTimeTitle
出入金詳情,出入金详情,Deposit and Withdrawal Details,,รายละเอียดการฝากถอน,,5,詳細,,5,세부,,7,Chi tiết xuất nhập tiền,,11,"paymentHistory.paymentDetail,agentUserPaymentHistory.depositWithdrawalDetailsTitle,agentPaymentDetail.depositWithdrawalDetailsTitle"
入金總額,入金总额,Total Deposit,,ยอดเงินฝาก,,4,合計金額,,4,총 금액,,5,Tổng số nhập tiền,,9,"paymentHistory.paymentTotal,agentUserPaymentHistory.totalDeposit,agentPaymentDetail.depositTotal"
出金總額,出金总额,Total Withdrawal,,ยอดถอนทั้งหมด,,4,金の総量,,4,총 금액,,5,Tổng số xuất tiền,,9,"paymentHistory.withdrawTotal,agentUserPaymentHistory.totalWithdrawal"
方式,方式,Method,,วิธี,,2,仕方,,2,방법,,2,Phương thức,,4,"paymentHistory.method,agentUserPaymentHistoryList.methodTitle,withdrawCategory.method"
類型,类型,Type,,ประเภท,,2,タイプ,,2,유형,,2,Loại hình,,4,"paymentHistory.type,agentUserPaymentHistoryList.typesTitle,futuresTransaction.marketOrderPopup.type,futuresTransaction.limitOrderPopup.type,withdrawCategory.type,agentProfitSharing.typesTitle"
日期,日期,Date,,วันที่,,2,日にち,,2,데이트,,2,Ngày tháng,,4,"paymentHistory.dateTitle,agentUserPaymentHistoryList.dateTitle,withdrawCategory.dateTitle,agentProfitSharing.dateTitle,agentUserProfitSharingForm.dateTitle,agentOverview.dateTitle,withdrawBank.datePrefix"
審核中,审核中,Under review,,อยู่ระหว่างการตรวจสอบ,,3,レビュー中,,3,검토 중,,4,Đang thẩm hạch,,6,"paymentHistory.statusAudit,paymentHistory.orderStatusWithdrawAudit,paymentHistory.statusFail,paymentHistory.orderStatusDepositAudit,paymentHistory.orderStatusWithdrawHandle,agentUserPaymentHistoryList.orderStatusWithdrawAudit,agentUserPaymentHistoryList.orderStatusFail,agentUserPaymentHistoryList.orderStatusDepositAudit,agentUserPaymentHistoryList.orderStatusWithdrawHandle,accountPaymentManager.statusAudit"
等待,等待,Pending,,รอดำเนินการ,,2,待つ,,2,기다리다,,2,Chờ đợi,,4,paymentHistory.statusWait
完成,完成,Completed,,เสร็จสมบูรณ์,,2,終了,,2,마치다,,2,Hoàn thành,,4,"paymentHistory.statusSuccess,languageSetting.complete,keyboardInputAction.complete,upDownColorSetting.complete,serverLineSetting.complete"
尚無出入金紀錄,尚无出入金纪录,No deposit or withdrawal record yet,,ยังไม่มีประวัติการฝากถอน,,8,エントリアンドエグジットゴールドレコードはありません,,7,입장 및 종료 금 기록이 없습니다,,9,Không có ghi chép xuất nhập tiền,,15,paymentHistory.historyEmptyTip
獲取資料時發生錯誤,获取资料时发生错误,An error occurred while obtaining information.,,เกิดข้อผิดพลาดขณะรับข้อมูล,,10,情報を取得するときにエラーが発生します,,9,정보를 얻을 때 오류가 발생합니다,,12,Phát sinh lỗi khi nhận dữ liệu,,20,paymentHistory.historyErrorTip
入金成功,入金成功,Fund deposited successfully,,ฝากเงินสำเร็จ,,4,入金成功,,4,성공적인 지불,,5,Nhập tiền thành công,,9,"paymentHistory.orderStatusDepositSuccess,agentUserPaymentHistoryList.orderStatusDepositSuccess"
出金成功,出金成功,Fund withdrawn successfully,,ถอนเงินสำเร็จ,,4,金で成功します,,4,금으로 성공하십시오,,5,Xuất tiền thành công,,9,"paymentHistory.orderStatusWithdrawSuccess,agentUserPaymentHistoryList.orderStatusWithdrawSuccess"
未支付,未支付,Unpaid,,ค้างชำระ,,3,未払い,,3,무급,,4,Chưa thanh toán,,6,"paymentHistory.orderStatusDepositWaitPay,agentUserPaymentHistoryList.orderStatusDepositWaitPay"
資金退回,资金退回,Funds returned,,,,4,監査失敗,,4,감사 실패,,5,,,9,"paymentHistory.orderStatusWithdrawReject,agentUserPaymentHistoryList.orderStatusWithdrawReject"
代理-出入金詳情列表,代理-出入金详情列表,Agent-List of Deposit and Withdrawal Details,,รายละเอียดการฝากและถอนของตัวแทน,,11,詳細のエージェントから検出されたリスト,,10,에이전트 세부 사항 목록,,14,Đại lý – Bảng liệt kê chi tiết xuất nhập tiền,,22,agentUserPaymentHistoryList.nameDescription
首頁,首页,Home,,หน้าแรก,,2,表紙,,2,첫 장,,2,Trang chủ,,4,menu.home
資產,资产,Assets,,ทรัพย์สิน,,2,資産,,2,자산,,2,Tài sản,,4,menu.funds
交易,交易,Trade,,ซื้อขาย,,2,トレード,,2,거래,,2,Giao dịch,,4,menu.trade
我的,我的,Hub,,ของฉัน,,2,私の,,2,나의 것,,2,... của tôi,,4,menu.my
總覽,总览,Overview,,ภาพรวม,,2,全体的な見解,,2,전체보기,,2,Tổng quan,,4,"menu.overview,agentSetting.agentOverview,agentOverview.appBarTitle"
