zh_TW,zh-CN,en-En,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
查看特定階段的交易活動,查看特定阶段的交易活动,View trading activities at specific stages,,ดูกิจกรรมการทำธุรกรรมในขั้นตอนเฉพาะ,,12,特定の段階でトランザクションアクティビティを表示します,,11,특정 단계에서 거래 활동을 봅니다,,15,Xem các hoạt động giao dịch ở một giai đoạn cụ thể,,24,assets.positionsSubtitle
前往驗證真實賬戶,前往验证真实账户,Verify Your Real Account,,ไปตรวจสอบบัญชีจริง,,9,実際のアカウントを確認します,,8,실제 계정을 확인하려면 이동하십시오,,11,Đi để xác minh tài khoản thực,,18,assets.idVerifyButton.statusNone
真實帳戶審核中,真实帐户审核中,Real account under review,,,,8,,,7,,,9,,,15,assets.idVerifyButton.statusAudit
真實帳戶驗證未通過,真实帐户验证未通过,Real account verification failed,,,,10,,,9,,,12,,,20,assets.idVerifyButton.statusReject
存入資金,存入资金,Deposit Funds,,เงินฝาก,,4,デポジット,,4,보증금,,5,Tiền gửi,,9,assets.depositButtonTip
出金,出金,Withdraw,,การถอนตัว,,2,出金,,2,철수,,2,Rút tiền,,4,"assets.withdrawButton,paymentHistory.typeWithdraw,agentUserPaymentHistoryList.withdraw,withdraw.appBarTitle,withdrawThirdParty.withdrawButton"
提取資金,提取资金,Withdraw Funds,,การสกัดเงินทุน,,4,資金の抽出,,4,자금 추출,,5,Khai thác vốn,,9,assets.withdrawButtonTip
自由資金,自由资金,Available Funds,,เงินทุนฟรี,,4,無料の資金,,4,무료 자금,,5,Tiền miễn phí,,9,"assets.availableFunds,accountTransaction.availableFunds"
淨值,净值,Equity,,รายได้สุทธิ,,2,純資産,,2,순자산,,2,giá trị ròng,,4,"assets.netAssetValue,accountTransaction.netAssetValue,walletAssetsPopup.netAssetValue"
初始保證金,初始保证金,Initial Margin,,เงินฝากเริ่มต้น,,5,頭金,,5,초기 입금,,7,Tiền gửi ban đầu,,11,assets.occupyMargin
維持保證金總額,维持保证金总额,Total M. Margin,,รักษาเงินฝากทั้งหมด,,8,総預金を維持します,,7,총 예금을 유지하십시오,,9,Duy trì tổng số tiền gửi,,15,assets.maintenanceMarginTotal
浮動盈虧,浮动盈亏,Unrealised P/L,,กำไรและขาดทุน,,4,浮かぶ利益と損失,,4,떠 다니는 이익과 손실,,5,Lãi và lỗ,,9,"assets.dynamicProfitLoss,walletAssetsPopup.dynamicProfitLoss,positionDetail.dynamicProfitLoss,positionDetail.profitLoss"
平倉盈虧,平仓盈亏,Realised P/L,,การทิ้งขยะและการสูญเสีย,,4,ごみと損失,,4,쓰레기와 손실,,5,Rác rưởi và mất mát,,9,"assets.closePositionProfitLoss,transactionHistoryDetail.dynamicProfitLoss"
凍結保證金,冻结保证金,Frozen Margin,,เงินฝากแช่แข็ง,,5,冷凍堆積物,,5,냉동 예금,,7,Tiền gửi đông lạnh,,11,assets.freezeMargin
全倉,全仓,Cross Margin,,คลังสินค้าทั้งหมด,,2,全倉,,2,모든 창고,,2,Tất cả các nhà kho,,4,"assets.crossMargin,futuresTransaction.crossMargin,tradeModePopup.crossMargin"
逐倉,逐仓,Isolated Margin,,อินเตอร์เฟซ,,2,逐倉,,2,상호 작용,,2,Giao diện,,4,"assets.isolateMargin,futuresTransaction.isolateMargin,tradeModePopup.isolateMargin"
資金淨值($),,,,,,8,,,7,,,9,,,15,assets.netWorth
佔用保證金($),,,,,,9,,,8,,,11,,,18,assets.positionMargin
可用保證金($),,,,,,9,,,8,,,11,,,18,assets.availableMargin
帳號資訊,帐号资讯,Account Information,,ข้อมูลเกี่ยวกับบัญชี,,4,口座情報,,4,계정 정보,,5,Thông tin tài khoản,,9,"memberCenter.accountInfo,accountData.appBarTitle"
成為代理,成为代理,Become an Agent,,เป็นตัวแทน,,4,エージェントになります,,4,에이전트가 되십시오,,5,Trở thành một đại lý,,9,"memberCenter.applyAgent,applyAgent.appBarTitle,applyAgent.applyAgentButton"
會員中心,会员中心,Member Center,,ศูนย์สมาชิก,,4,メンバーセンター,,4,회원 센터,,5,Trung tâm thành viên,,9,memberCenter.appBarTitle
通知,通知,Notification,,สังเกต,,2,知らせ,,2,알아채다,,2,Để ý,,4,"memberCenter.messageNotify,agentSetting.messageNotify"
成就 & 階級,成就 & 阶级,Achievement & Rank,,ความสำเร็จและชั้นเรียน,,5,功績とクラス,,5,성취 및 수업,,7,Thành tích & lớp học,,11,"memberCenter.achievement,agentSetting.achievementsLevel,achievementsLevel.appBarTitle"
獎勵,奖励,Rewards,,รางวัล,,2,アワード,,2,상,,2,phần thưởng,,4,"memberCenter.award,award.appBarTitle,awardList.bonus"
分享推薦碼,分享推荐码,Share Referral Code,,แบ่งปันรหัสคำแนะนำ,,5,推奨コードを共有します,,5,공유 추천 코드,,7,Chia sẻ mã khuyến nghị,,11,"memberCenter.shareReferralCode,referralCodeShare.appBarTitle"
身份認證,身份认证,Identity Certification,,การรับรองความถูกต้อง,,4,認証,,4,입증,,5,Xác thực,,9,memberCenter.identifyVerification
設定,设定,Settings,,การตั้งค่า,,2,設定,,2,환경,,2,cài đặt,,4,"memberCenter.setting,setting.appBarTitle"
合約屬性,合约属性,Contract Properties,,,,4,,,4,,,5,,,9,memberCenter.contractProperties
聲明和協議,声明和协议,Statement and Agreement,,การประกาศและโปรโตคอล,,5,宣言とプロトコル,,5,선언 및 프로토콜,,7,Tuyên bố và giao thức,,11,memberCenter.statementAndAgreement
帳戶設定,帐户设定,Account Settings,,การตั้งค่าบัญชี,,4,アカウント設定,,4,계정 설정,,5,Cài đặt tài khoản,,9,memberCenter.accountSetting
已複製推薦碼,已复制推荐码,Referral Code Copied,,รหัสที่แนะนำสำหรับการคัดลอก,,7,コピーするための推奨コード,,6,복사를위한 권장 코드,,8,Mã được đề xuất để sao chép,,13,memberCenter.copyReferralCodeToast
我的推薦碼,我的推荐码,My Referral Code,,รหัสคำแนะนำของฉัน,,5,私の推奨コード,,5,내 추천 코드,,7,Mã khuyến nghị của tôi,,11,"memberCenter.myReferralCode,referralCodeShare.myReferralCode"
用戶服務,用户服务,User Service,,บริการผู้ใช้,,4,ユーザーサービス,,4,사용자 서비스,,5,Dịch vụ người dùng,,9,memberCenter.userService
代理服務,代理服务,Agent Service,,บริการพร็อกซี,,4,プロキシサービス,,4,프록시 서비스,,5,Dịch vụ proxy,,9,memberCenter.agentService
切換回用戶模式,切换回用户模式,Switch to User Mode,,สลับกลับไปที่โหมดผู้ใช้,,8,ユーザーモードに戻ります,,7,사용자 모드로 다시 전환하십시오,,9,Chuyển trở lại chế độ người dùng,,15,memberCenter.backToUserService
切換至代理模式,切换至代理模式,Switch to Agent Mode,,เปลี่ยนไปใช้โหมดพร็อกซี,,8,プロキシモードに切り替えます,,7,프록시 모드로 전환하십시오,,9,Chuyển sang chế độ proxy,,15,memberCenter.toAgentService
代理審核中,代理审核中,Agency under review,,การตรวจสอบตัวแทน,,5,エージェントレビュー,,5,에이전트 검토,,7,Đánh giá đại lý,,11,memberCenter.agentStatusAudit
代理權限被撤銷,代理权限被撤销,Agent authority revoked,,สิทธิ์ตัวแทนถูกเพิกถอน,,8,エージェント許可が取り消されました,,7,에이전트 권한이 취소되었습니다,,9,Quyền của đại lý đã bị thu hồi,,15,memberCenter.agentStatusBlock
請先驗證真實帳戶,请先验证真实帐户,Please verify your real account.,,โปรดยืนยันบัญชีจริงก่อน,,9,最初に実際のアカウントを確認してください,,8,먼저 실제 계정을 확인하십시오,,11,Vui lòng xác minh tài khoản thực trước,,18,memberCenter.verificationRealAccountFirst
等待真實帳戶審核中,等待真实帐户审核中,Awaiting review for your real account,,กำลังรอการตรวจสอบบัญชีจริง,,10,実際のアカウントレビューを待っています,,9,실제 계정 검토를 기다리고 있습니다,,12,Chờ đánh giá tài khoản thực,,20,memberCenter.waitVerificationRealAccount
鑽石階級,钻石阶级,Diamond Rank,,ชั้นเพชร,,4,ダイヤモンドクラス,,4,다이아몬드 클래스,,5,Lớp kim cương,,9,memberCenter.levelDiamond
會員,会员,Member,,สมาชิก,,2,メンバー,,2,회원,,2,thành viên,,4,memberCenter.member
認證中,认证中,Under Certification,,,,3,,,3,,,4,,,6,memberCenter.idVerifyStatus.audit
已通過,已通过,Passed,,,,3,,,3,,,4,,,6,memberCenter.idVerifyStatus.pass
未通過,未通过,Reject,,,,3,,,3,,,4,,,6,memberCenter.idVerifyStatus.reject
安全登出,安全登出,Logged out safely,,,,4,,,4,,,5,,,9,memberCenter.safeLogout
登入,登入,Log in,,เข้าสู่ระบบ,,2,ログインする,,2,로그인,,2,đăng nhập,,4,"memberCenter.login,common.login"
登出成功,登出成功,Logout Succeeded,,เข้าสู่ระบบสำเร็จ,,4,正常にログインします,,4,성공적으로 로그인하십시오,,5,Đăng nhập thành công,,9,memberCenter.logoutSuccess
關於我們,关于我们,Contact Us,,,,4,,,4,,,5,,,9,memberCenter.contactUs
用戶指南,,User Guide,,,,4,,,4,,,5,,,9,"memberCenter.userGuide,userGuideCategory.title"
暫無行情,暂无行情,No quotes available for the moment,,ไม่มีตลาด,,4,市場はありません,,4,시장 없음,,5,Không có thị trường,,9,"futuresMarketContent.listEmptyTip,home.quotaEmptyTip"
添加自選,添加自选,Add optional,,เลือกเลือกจาก,,4,から選択することを選択します,,4,선택하도록 선택하십시오,,5,Chọn chọn từ,,9,"futuresMarketContent.addCustomQuotaTip,home.addCustomQuotaTip,futuresCustomEdit.emptyTip"
交易品種,交易品种,Varieties,,ความหลากหลายของธุรกรรม,,4,トランザクションの種類,,4,거래 품종,,5,Giao dịch đa dạng,,9,"futuresMarketContent.futuresName,home.tradingVarietyTitle,futuresCustomEdit.futuresName"
賣出價,卖出价,Selling Rate,,ราคาขาย,,3,販売価格,,3,판매 가격,,4,Gia ban,,6,"futuresMarketContent.sellPrice,home.sellingPriceTitle,futuresAlert.sellOutPrice,futuresDetail.sellOutPrice"
買入價,买入价,Buying Rate,,ราคาซื้อ,,3,購入価格,,3,구매 가격,,4,giá mua,,6,"futuresMarketContent.buyPrice,home.buyingPriceTitle,futuresAlert.buyInPrice,futuresDetail.buyInPrice"
自選,自选,Optional,,ทางเลือก,,2,選択,,2,선택,,2,Sự lựa chọn,,4,"futuresMarketContent.customTab,home.futuresTabFavorite"
輸入交易品種 / 英文名稱,输入交易品种 / 英文名称,Enter variety / English name,,ป้อนชื่อธุรกรรมหลากหลาย / ภาษาอังกฤษ,,12,トランザクションの品種 /英語名を入力します,,11,트랜잭션 품종 / 영어 이름을 입력하십시오,,15,Nhập nhiều loại giao dịch / tên tiếng Anh,,24,"futuresMarketContent.searchHint,home.searchHint,futuresSearch.searchInputHint"
可用餘額,可用馀额,Available,,ยอดเงินคงเหลือ,,4,利用可能残高,,4,사용 가능한 잔액,,5,Số dư có sẵn,,9,"futuresMarketContent.availableBalance,agentUsersDetail.availableBalance,accountTransaction.availableBalance,walletAssetsPopup.availableBalance,futuresTransaction.availableBalance"
最新價,最新价,Current Price,,ราคาล่าสุด,,3,最新の価格,,3,최신 가격,,4,Giá mới nhất,,6,"futuresMarketContent.lastPrice,home.lastPrice,positions.lastPrice"
漲跌幅,涨跌幅,Volatility,,การเปลี่ยนแปลงใบเสนอราคา,,3,引用の変更,,3,견적 변경,,4,Trích dẫn thay đổi,,6,"futuresMarketContent.changeRate,home.changeRate,futuresChart.changeRate"
漲跌幅/點差,涨跌幅/点差,Volatility / Spread,,,,7,,,6,,,8,,,13,futuresMarketContent.changeRateSpread
多元交易產品安全,多元交易产品安全,"Diverse Transaction, Safe Products",,หลังจากผลิตภัณฑ์ธุรกรรมมากขึ้นปลอดภัย,,9,より多くのトランザクション製品が安全です,,8,더 많은 거래 제품이 안전합니다,,11,Sau khi có nhiều sản phẩm giao dịch hơn,,18,home.defaultBannerTitle
快速下單直覺 多樣化下單工具,快速下单直觉 多样化下单工具,"Quick and intuitive ordering, diversified order placement tools",,วางคำสั่งซื้อเครื่องมือการสั่งซื้อที่หลากหลายโดยใช้งานง่าย,,15,直感的な多様な注文ツールを注文する,,13,직관적 인 다양한 주문 도구를 신속하게 주문하십시오,,18,Nhanh chóng đặt hàng các công cụ đặt hàng đa dạng trực quan,,29,home.defaultBannerSubtitle
更多交易,更多交易,More,,ธุรกรรมเพิ่มเติม,,4,より多くのトランザクション,,4,더 많은 거래,,5,Nhiều giao dịch hơn,,9,home.moreTransaction
公告,公告,Announcement,,ประกาศ,,2,発表,,2,발표,,2,sự thông báo,,4,"home.announcement,announcement.appBarTitle"
歡迎來到{appName}~,欢迎来到{appName}~,Welcome to {AppName}~,,ยินดีต้อนรับสู่ {appName} ~,,5 + ?,{appName}〜へようこそ,,5 + ?,{appName} ~에 오신 것을 환영합니다,,7 + ?,Chào mừng bạn đến với {appName} ~,,11 + ?,home.defaultMarquee
專屬客服,专属客服,Exclusive Customer Service,,บริการลูกค้าพิเศษ,,4,排他的なカスタマーサービス,,4,독점 고객 서비스,,5,Dịch vụ khách hàng độc quyền,,9,"home.customerServiceButton,customerService.appBarTitle"
更方便、更快捷、更高效的服務,更方便丶更快捷丶更高效的服务,"More convenient, faster and more efficient service",,บริการง่ายเร็วขึ้นและมีประสิทธิภาพมากขึ้น,,16,簡単で、より速く、より効率的なサービス,,14,쉽고 빠르며 효율적인 서비스,,19,"Các dịch vụ dễ dàng, nhanh hơn và hiệu quả hơn",,31,home.customerServiceContent
任務中心,任务中心,Mission Center,,ศูนย์เผยแผ่,,4,ミッションセンター,,4,미션 센터,,5,Trung tâm truyền giáo,,9,home.missionButton
歡迎 ~ 立即交易全球市場,欢迎 ~ 立即交易全球市场,Welcome ~ Trade in the global market now.,,ยินดีต้อนรับ ~ ซื้อขายตลาดโลกทันที,,12,ようこそ〜グローバル市場をすぐに取引してください,,11,환영합니다 ~ 글로벌 시장을 즉시 거래하십시오,,15,Chào mừng ~ Giao dịch thị trường toàn cầu ngay lập tức,,24,home.logoMessageContent
訂單列表,订单列表,Order List,,รายการสั่งซื้อ,,4,オーダーリスト,,4,주문 목록,,5,Danh sách đặt hàng,,9,home.tradeListButton
活動,活动,Event,,กิจกรรม,,2,アクティビティ,,2,활동,,2,Hoạt động,,4,"home.eventButton,campaign.title"
教學,教学,Tutorial,,การสอน,,2,教育,,2,가르치는,,2,giảng bài,,4,"home.tutorialButton,qa.appBarTitle"
熱門交易,热门交易,Top Transactions,,การซื้อขายยอดนิยม,,4,人気のある取引,,4,인기있는 거래,,5,Giao dịch phổ biến,,9,home.futuresTabTop
點差,点差,Spread,,ความแตกต่างของจุด,,2,ポイントの違い,,2,포인트 차이,,2,Điểm khác biệt,,4,"home.spreadPrefix,agentTransactionSettingList.spreadTitle,agentConditionFuturesList.spreadTitle"
提示,提示,Tip:,,,,2,,,2,,,2,,,4,home.idVerifyNeedPopup.title
"尚未完成/通過身分驗證
請通過身分驗證後，再進行{target}","尚未完成/通过身分验证
请通过身分验证后，再进行{target}","Identity verification not yet completed/passed 
Please pass the identity verification before making a {target}.",,,,27 + ?,,,23 + ?,,,32 + ?,,,51 + ?,home.idVerifyNeedPopup.content
前往驗證身份,前往验证身份,Verify your identity,,,,7,,,6,,,8,,,13,home.idVerifyNeedPopup.confirm
手續費,手续费,Handling Fee,,ค่าธรรมเนียมการจัดการ,,3,手数料,,3,수수료,,4,Phí xử lý,,6,"paymentHistory.fee,agentFundingPositionsList.handlingFeeTitle,agentFundingPositionsDetail.handlingFeeTitle,agentUsersDetail.handlingFeeTitle,futuresTransaction.totalCostPopup.handlingFee,agentTransactionSettingList.handlingFeeTitle,agentConditionFuturesList.handlingFeeTitle"
單號,单号,Order No,,หมายเลขเดียว,,2,単一番号,,2,단일 번호,,2,Đơn số,,4,"paymentHistory.orderSerial,agentFundingPositionsList.singleNumberTitle,agentFundingPositionsDetail.singleNumberTitle,withdrawCategory.orderSerial"
清除,清除,Clear,,ลบ,,2,削除する,,2,제거하다,,2,Loại bỏ,,4,"paymentHistory.filterPopup.clearButton,agentUserPaymentHistory.filterPopup.cleanButton,agentProfitSharing.filterPopup.cleanButton,agentUser.filterPopup.cleanButton,agentFundingDetails.filterPopup.cleanButton,agentUserProfitSharingForm.filterPopup.cleanButton"
篩選,筛选,Filter,,กรอง,,2,フィルター,,2,필터,,2,lọc,,4,"paymentHistory.filterPopup.filterButton,agentUserPaymentHistory.filterPopup.filterButton,agentProfitSharing.filterPopup.filterButton,agentUser.filterPopup.filterButton,agentFundingDetails.filterPopup.filterButton,agentUserProfitSharingForm.filterPopup.filterButton,agentTransactionSetting.filterTitle"
請選擇日期,请选择日期,Please select a date.,,กรุณาเลือกวันที่,,5,日付を選択してください,,5,날짜를 선택하십시오,,7,Vui lòng chọn ngày,,11,"paymentHistory.filterPopup.applyTimeHint,agentUserPaymentHistory.filterPopup.dateButtonHint,agentProfitSharing.dateButtonHint,agentUser.filterPopup.selectDateButton,agentFundingDetails.filterPopup.dateButtonHint,agentUserProfitSharingForm.dateHint,agentOverview.dateHint"
請選擇類型,请选择类型,Please select a type.,,กรุณาเลือกประเภท,,5,タイプを選択してください,,5,유형을 선택하십시오,,7,Vui lòng chọn loại,,11,"paymentHistory.filterPopup.directionHint,agentUserPaymentHistory.filterPopup.typesButtonHint,agentProfitSharing.typesButtonHint,agentReferralCodeUsers.typesButtonHint"
出入金紀錄篩選,出入金纪录筛选,Deposit and Withdrawal Records Filtering,,การคัดกรองบันทึกทองคำวินัย,,8,懲戒金の記録スクリーニング,,7,징계 금 기록 심사,,9,Sàng lọc hồ sơ vàng kỷ luật,,15,"paymentHistory.filterPopup.popupTitle,agentUserPaymentHistory.filterPopup.popupTitle"
出入金類型,出入金类型,Deposit and Withdrawal Type,,ประเภททอง,,5,ゴールドタイプ,,5,금색,,7,Loại vàng,,11,"paymentHistory.filterPopup.directionTitle,agentUserPaymentHistory.filterPopup.typesTitle"
出入金方式,出入金方式,Deposit and Withdrawal Method,,วิธีการเข้าและออก,,5,出入りする方法,,5,들어오고 나가는 방법,,7,Cách ra vào và ra,,11,"paymentHistory.filterPopup.categoryTitle,agentUserPaymentHistory.filterPopup.methodTitle"
請選擇出入金方式,请选择出入金方式,Please select a method to deposit and withdraw funds.,,โปรดเลือกวิธีการเข้าและออก,,9,出入りする方法を選択してください,,8,들어오고 나가는 방법을 선택하십시오,,11,Vui lòng chọn cách vào và ra,,18,"paymentHistory.filterPopup.categoryHint,agentUserPaymentHistory.filterPopup.methodButtonHint"
狀態,状态,Status,,สถานะ,,2,州,,2,상태,,2,tiểu bang,,4,"paymentHistory.filterPopup.statusTitle,agentUserPaymentHistory.filterPopup.statusTitle"
請選擇狀態,请选择状态,Please select a status.,,กรุณาเลือกสถานะ,,5,ステータスを選択してください,,5,상태를 선택하십시오,,7,Vui lòng chọn trạng thái,,11,"paymentHistory.filterPopup.statusHint,agentUserPaymentHistory.filterPopup.statusButtonHint"
金額,金额,Amount,,จำนวนเงิน,,2,金額,,2,금액,,2,Số tiền,,4,"paymentHistory.filterPopup.amountTitle,agentUserPaymentHistory.filterPopup.amountTitle"
最高,最高,Highest,,มากที่สุด,,2,最高,,2,제일 높은,,2,Cao nhất,,4,"paymentHistory.filterPopup.amountMaxHint,positionDetail.highPrice,futuresChart.highPrice,futuresChartFullScreen.highPrice"
最低,最低,Lowest,,ต่ำที่สุด,,2,最低,,2,가장 낮습니다,,2,thấp nhất,,4,"paymentHistory.filterPopup.amountMinHint,positionDetail.lowPrice,futuresChart.lowPrice,futuresChartFullScreen.lowPrice"
審核時間,审核时间,Review Time,,เวลาตรวจสอบ,,4,時間を確認します,,4,검토 시간,,5,Thời gian xem xét,,9,paymentHistory.filterPopup.applyTimeTitle
出入金詳情,出入金详情,Deposit and Withdrawal Details,,รายละเอียด,,5,詳細,,5,세부,,7,Thông tin chi tiết,,11,"paymentHistory.paymentDetail,agentUserPaymentHistory.depositWithdrawalDetailsTitle,agentPaymentDetail.depositWithdrawalDetailsTitle"
入金總額,入金总额,Total Deposit,,จำนวนเงินทั้งหมด,,4,合計金額,,4,총 금액,,5,Tổng số tiền,,9,"paymentHistory.paymentTotal,agentUserPaymentHistory.totalDeposit,agentPaymentDetail.depositTotal"
出金總額,出金总额,Total Withdrawal,,จำนวนทองคำทั้งหมด,,4,金の総量,,4,총 금액,,5,Tổng số lượng vàng,,9,"paymentHistory.withdrawTotal,agentUserPaymentHistory.totalWithdrawal"
方式,方式,Method,,ทาง,,2,仕方,,2,방법,,2,Đường,,4,"paymentHistory.method,agentUserPaymentHistoryList.methodTitle,withdrawCategory.method"
類型,类型,Type,,พิมพ์,,2,タイプ,,2,유형,,2,loại hình,,4,"paymentHistory.type,agentUserPaymentHistoryList.typesTitle,futuresTransaction.marketOrderPopup.type,futuresTransaction.limitOrderPopup.type,withdrawCategory.type,agentProfitSharing.typesTitle"
日期,日期,Date,,วันที่,,2,日にち,,2,데이트,,2,ngày,,4,"paymentHistory.dateTitle,agentUserPaymentHistoryList.dateTitle,withdrawCategory.dateTitle,agentProfitSharing.dateTitle,agentUserProfitSharingForm.dateTitle,agentOverview.dateTitle,withdrawBank.datePrefix"
審核中,审核中,Under review,,ภายใต้การทบทวน,,3,レビュー中,,3,검토 중,,4,đang được xem xét,,6,"paymentHistory.statusAudit,paymentHistory.orderStatusWithdrawAudit,paymentHistory.statusFail,paymentHistory.orderStatusDepositAudit,paymentHistory.orderStatusWithdrawHandle,agentUserPaymentHistoryList.orderStatusWithdrawAudit,agentUserPaymentHistoryList.orderStatusFail,agentUserPaymentHistoryList.orderStatusDepositAudit,agentUserPaymentHistoryList.orderStatusWithdrawHandle,accountPaymentManager.statusAudit"
等待,等待,Pending,,รอ,,2,待つ,,2,기다리다,,2,Chờ đã,,4,paymentHistory.statusWait
完成,完成,Completed,,เสร็จ,,2,終了,,2,마치다,,2,Kết thúc,,4,"paymentHistory.statusSuccess,languageSetting.complete,keyboardInputAction.complete,upDownColorSetting.complete,serverLineSetting.complete"
尚無出入金紀錄,尚无出入金纪录,No deposit or withdrawal record yet,,ไม่มีรายการและออกจากบันทึกทองคำ,,8,エントリアンドエグジットゴールドレコードはありません,,7,입장 및 종료 금 기록이 없습니다,,9,Không có bản ghi vàng vào và ra,,15,paymentHistory.historyEmptyTip
獲取資料時發生錯誤,获取资料时发生错误,An error occurred while obtaining information.,,เกิดข้อผิดพลาดเมื่อได้รับข้อมูล,,10,情報を取得するときにエラーが発生します,,9,정보를 얻을 때 오류가 발생합니다,,12,Lỗi xảy ra khi có được thông tin,,20,paymentHistory.historyErrorTip
入金成功,入金成功,Fund deposited successfully,,การชำระเงินที่ประสบความสำเร็จ,,4,入金成功,,4,성공적인 지불,,5,Thanh toán thành công,,9,"paymentHistory.orderStatusDepositSuccess,agentUserPaymentHistoryList.orderStatusDepositSuccess"
出金成功,出金成功,Fund withdrawn successfully,,ประสบความสำเร็จในทองคำ,,4,金で成功します,,4,금으로 성공하십시오,,5,Thành công bằng vàng,,9,"paymentHistory.orderStatusWithdrawSuccess,agentUserPaymentHistoryList.orderStatusWithdrawSuccess"
未支付,未支付,Unpaid,,ไม่ได้รับค่าจ้าง,,3,未払い,,3,무급,,4,Chưa thanh toán,,6,"paymentHistory.orderStatusDepositWaitPay,agentUserPaymentHistoryList.orderStatusDepositWaitPay"
資金退回,资金退回,Funds returned,,ความล้มเหลวในการตรวจสอบ,,4,監査失敗,,4,감사 실패,,5,Thất bại kiểm toán,,9,"paymentHistory.orderStatusWithdrawReject,agentUserPaymentHistoryList.orderStatusWithdrawReject"
代理-出入金詳情列表,代理-出入金详情列表,Agent-List of Deposit and Withdrawal Details,,รายละเอียดรายละเอียดรายละเอียดของตัวแทน,,11,詳細のエージェントから検出されたリスト,,10,에이전트 세부 사항 목록,,14,Danh sách chi tiết chi tiết của đại lý,,22,agentUserPaymentHistoryList.nameDescription
首頁,首页,Home,,หน้าแรก,,2,表紙,,2,첫 장,,2,trang nhất,,4,menu.home
資產,资产,Assets,,สินทรัพย์,,2,資産,,2,자산,,2,tài sản,,4,menu.funds
交易,交易,Trade,,ซื้อขาย,,2,トレード,,2,거래,,2,buôn bán,,4,menu.trade
我的,我的,Hub,,ของฉัน,,2,私の,,2,나의 것,,2,của tôi,,4,menu.my
總覽,总览,Overview,,มุมมองโดยรวม,,2,全体的な見解,,2,전체보기,,2,Nhìn tổng thể,,4,"menu.overview,agentSetting.agentOverview,agentOverview.appBarTitle"
用戶清單,用户清单,User List,,รายชื่อผู้ใช้,,4,ユーザーリスト,,4,사용자 목록,,5,Danh sách người dùng,,9,"menu.users,agentSetting.agentUsers"
分潤細節,分润细节,Revenue Share Details,,รายละเอียดหน้าที่,,4,義務の詳細,,4,의무 세부 사항,,5,Chi tiết nhiệm vụ,,9,"menu.profitSharing,agentSetting.agentProfitSharing,agentProfitSharing.appBarTitle,agentOverview.agentProfitTitle"
